"Галочка","№","Фаза","Задача","Кто","Сложность","Время","Статус","Простыми словами","Зачем","Файлы","Что сделать","Готово когда"
FALSE,"11","4. Каталог","Редактировать и удалять филиал","Бэкенд","Средняя","1-2ч","Не начато","На экране кнопки Редактировать и Удалить филиал есть, но сервер этого не умеет. Добавляем два действия.","Кнопки в интерфейсе есть, но пока это имитация.","back/routers/studio/router.py, back/schemas/studio/studio.py","Действия изменить филиал и удалить филиал; проверять принадлежность студии (чужой — не найдено).","Филиал можно изменить и удалить через сервер; чужой недоступен."
FALSE,"12","4. Каталог","Создавать зал","Бэкенд","Средняя","1-2ч","Не начато","Зал — помещение внутри филиала (его цвет подсвечивает занятия в расписании). Сервер пока не умеет создавать залы.","Без этого нельзя заполнить филиал залами.","back/schemas/schedule/halls.py (там пустая заготовка), back/routers/studio/router.py","Описать поля зала (название, вместимость, площадь, цвет, оборудование, цена/час, онлайн-зал); действие создать зал в филиале.","Новый зал сохраняется и появляется в деталях филиала."
FALSE,"13","4. Каталог","Редактировать и удалять зал","Бэкенд","Средняя","1-2ч","Не начато","То же, что задача 11, но для залов: изменить и удалить зал.","Полный набор действий над залом.","back/routers/studio/router.py, back/schemas/schedule/halls.py","Действия изменить зал и удалить зал со скоупом по студии.","Зал можно изменить и удалить; чужой недоступен."
FALSE,"14","4. Каталог","Услуги: показывать с сервера","Бэкенд","Средняя","1-2ч","Не начато","Раздел Услуги сейчас полностью нарисованный — данные выдуманы прямо в коде экрана. Делаем серверную часть.","Услуги должны храниться в базе, а не в коде экрана.","back/schemas/studio/studio.py (или новый файл), новый back/routers/studio/services.py, подключить в back/routers/studio/router.py","Описать поля услуги; действия показать список услуг и показать одну услугу. Таблица услуг в базе уже есть.","Список услуг приходит с сервера, а не из выдуманных данных."
FALSE,"15","4. Каталог","Услуги: создавать, менять, удалять","Бэкенд","Средняя","1-2ч","Не начато","Дополнить раздел услуг тремя действий: добавить, изменить, удалить.","Полный набор действий над услугой.","back/routers/studio/services.py","Действия создать/изменить/удалить услугу со скоупом по студии.","Услугу можно создать, изменить и удалить, это сохраняется в базе."
FALSE,"16","5. Профиль","Телефон + сохранение профиля","Бэкенд","Средняя","1-2ч","Не начато","Сервер уже отдаёт имя и почту вошедшего, но без телефона и без возможности сохранить изменения. Добавляем.","Страница Профиля не сможет сохранять данные без этого.","back/routers/auth/profile.py, back/schemas/auth/*","Добавить телефон в выдачу данных пользователя; действие сохранить имя и телефон.","Данные пользователя включают телефон; сохранение реально меняет имя и телефон в базе."
FALSE,"17","6. Фронтенд","Правильно реагировать на нет доступа (403)","Фронтенд","Средняя","1-2ч","Не начато","После закрытия разделов сервер начнёт отвечать 403 нет доступа. Сейчас фронт этого не ждёт и может сломаться или выкинуть из аккаунта.","Чтобы интерфейс не падал на новых ошибках доступа.","front/src/api/client.ts","Обработать ответ 403: показать сообщение Нет доступа, не ломать страницу, не разлогинивать.","При 403 появляется сообщение Нет доступа, страница цела, человек не разлогинен."
FALSE,"18","6. Фронтенд","Дописать вызовы сервера для Каталога","Фронтенд","Простая","1ч","Не начато","На фронте есть переводчик между кнопками и сервером (api-файл). Дописываем новые вызовы: изменить/удалить филиал, создать/изменить/удалить зал.","Без этих вызовов формы не смогут обращаться к новым действиям сервера.","front/src/api/studio/studio.api.ts, front/src/api/studio/studio.types.ts","Добавить методы updateBranch, deleteBranch, createHall, updateHall, deleteHall + типы. ВАЖНО: если поле на сервере может быть пустым (null), на фронте пометить его необязательным, иначе белый экран.","Новые вызовы идут на правильные адреса; типы совпадают с ответами сервера."
FALSE,"19","6. Фронтенд","Оживить формы филиала и зала","Фронтенд","Средняя","1-2ч","Не начато","Соединить уже нарисованные формы Каталога с настоящими действиями сервера, чтобы нажатие реально меняло данные, а не показывало фейковое успешно.","Сейчас кнопки только показывают уведомление и ничего не сохраняют.","front/src/pages/dashboard/Catalog/components/modals/EditStudio.tsx, Catalog/components/StudioSection.tsx, Catalog/hooks/useCatalogList.ts","Заменить заглушки реальными вызовами studioApi; обновлять список после ответа.","Редактирование и удаление филиала и зала меняют данные и остаются после перезагрузки."
FALSE,"20","6. Фронтенд","Оживить раздел Услуги","Фронтенд","Средняя","1-2ч","Не начато","То же для услуг: создать api-файл и подключить экран услуг к серверу вместо выдуманных данных.","Раздел Услуги сейчас работает на моках.","новый front/src/api/studio/services.api.ts, Catalog/components/ServiceSection.tsx, Catalog/components/modals/AddServiceModal.tsx, Catalog/components/modals/EditService.tsx, Catalog/constants.ts","Создать servicesApi; перевести экран услуг с моков на реальные запросы (список + создать/изменить/удалить).","Услуги грузятся с сервера; создание, изменение, удаление сохраняются."
FALSE,"21","6. Фронтенд","Оживить страницу Профиля","Фронтенд","Средняя","1-2ч","Не начато","Убрать со страницы Профиль вшитые фейковые имя и почту, подставить настоящие данные вошедшего и сделать, чтобы Сохранить реально сохранял.","Сейчас Профиль показывает одни и те же выдуманные данные всем.","front/src/pages/dashboard/Profile/hooks/useProfileForm.ts, Profile/constants.ts, Profile/Profile.tsx","Грузить данные из /auth/me; кнопку Сохранить подключить к серверному действию из задачи 16.","Профиль показывает реального пользователя; у разных аккаунтов разные данные; правки сохраняются."
FALSE,"22","6. Фронтенд","Клиенты: Загрузить ещё + умный поиск","Фронтенд","Средняя","1-2ч","Не начато","Подключить список клиентов к новому формату, добавить кнопку Загрузить ещё и сделать поиск умным — чтобы он не дёргал сервер на каждую букву.","Скорость и удобство на больших списках. Бесконечную ленту НЕ делаем — в проекте нет нужной библиотеки, за 1-2ч не сделать.","front/src/api/clients/clients.api.ts, Clients/hooks/*, Clients/*.tsx","Адаптировать под формат Page; добавить кнопку Загрузить ещё (грузить порциями); поиск ждёт ~0.3 сек после последней буквы.","По кнопке подгружается следующая порция и добавляется к списку; поиск не шлёт запрос на каждый символ."
