== el
loading	Φόρτωση…
events.o5.desc	Ο διαχειριστής δημιούργησε νέο λογαριασμό
events.o6.title	Ανανέωση προγράμματος
events.o6.desc	Υπενθύμιση πληρωμής της συνδρομής Velora
events.o7.title	Τα δικαιώματα πρόσβασης άλλαξαν
events.o7.desc	Τα δικαιώματα του μέλους προσωπικού άλλαξαν
events.o8.title	Επίτευξη KPI
events.o8.desc	Επιτεύχθηκε ο μηνιαίος στόχος
events.o9.title	Εξαγωγή δεδομένων
events.o9.desc	Κάποιος εξήγαγε τη βάση δεδομένων πελατών
tg.title	Telegram
tg.subtitleConnected	Το κανάλι συνδέθηκε
tg.subtitleDisconnected	Συνδέστε το bot ειδοποιήσεων
tg.connected	Συνδέθηκε
tg.pasteToken	Επικολλήστε το διακριτικό bot που πήρατε από το @BotFather.
tg.invalidToken	Μη έγκυρη μορφή διακριτικού
tg.howToGet	Πώς να πάρετε διακριτικό:
tg.steps.1	Ανοίξτε το @BotFather στο Telegram
tg.steps.2	Στείλτε την εντολή /newbot και ακολουθήστε τις οδηγίες
tg.steps.3	Αντιγράψτε το διακριτικό που εκδόθηκε
tg.steps.4	Επικολλήστε το στο παραπάνω πεδίο
tg.connect	Σύνδεση
tg.disconnect	Αποσύνδεση
tg.disconnectTitle	Αποσύνδεση Telegram;
tg.disconnectMessage	Οι πελάτες και το προσωπικό θα σταματήσουν να λαμβάνουν ειδοποιήσεις από αυτό το κανάλι.
tg.close	Κλείσιμο
tg.cancel	Ακύρωση
emailCh.title	Email
emailCh.subtitle	Διεύθυνση αποστολέα για email πελατών
emailCh.verifiedLabel	Επιβεβαιώθηκε
emailCh.emailLabel	Email αποστολέα
emailCh.emailPlaceholder	admin@studio.com
emailCh.invalidEmail	Εισαγάγετε έγκυρο email
emailCh.sendCode	Αποστολή κωδικού
emailCh.codeSentTo	Ο κωδικός στάλθηκε στο
emailCh.codeHint	Εισαγάγετε τον 6ψήφιο κωδικό από το email.
emailCh.codeLabel	Κωδικός επιβεβαίωσης
emailCh.resend	Επανάληψη αποστολής κωδικού
emailCh.viaVelora	Τα email αποστέλλονται μέσω του διακομιστή Velora για λογαριασμό σας.
emailCh.wrongCode	Μη έγκυρος ή ληγμένος κωδικός
emailCh.verify	Επιβεβαίωση
emailCh.back	Πίσω
emailCh.cancel	Ακύρωση
wa.title	WhatsApp
wa.subtitleConnected	Το κανάλι συνδέθηκε
wa.subtitleDisconnected	Συνδεθείτε με τον εταιρικό λογαριασμό Meta
wa.connected	Συνδέθηκε
wa.paymentRequiredTitle	Θα χρειαστεί κάρτα
wa.paymentRequired	Η σύνδεση του αριθμού είναι δωρεάν, αλλά η Meta παραδίδει υπενθυμίσεις σε πελάτες μόνο όταν προστεθεί κάρτα. Την προσθέτετε ξεχωριστά —
wa.paymentMissingTitle	Δεν υπάρχει τρόπος πληρωμής
wa.paymentMissing	Προς το παρόν λειτουργούν μόνο οι απαντήσεις bot σε εισερχόμενα μηνύματα. Η Meta απορρίπτει υπενθυμίσεις, επιβεβαιώσεις και μαζικές αποστολές μέχρι να προστεθεί κάρτα —
wa.paymentOkTitle	Η πληρωμή συνδέθηκε
wa.paymentOk	οι ειδοποιήσεις παραδίδονται πλήρως.
wa.paymentUnknown	Δεν μπορέσαμε να ελέγξουμε τον τρόπο πληρωμής στη Meta — θα δείξουμε την κατάσταση στην επόμενη προσπάθεια.
wa.paymentLink	Κέντρο χρεώσεων Meta
wa.paymentRecheck	Έλεγχος ξανά
wa.paymentFound	Η πληρωμή συνδέθηκε
wa.verify.title	Η επιχείρηση δεν έχει επιβεβαιωθεί στη Meta
wa.verify.lead	Ο αριθμός λειτουργεί, αλλά με μειωμένο όριο 250 μοναδικών παραληπτών την ημέρα. Η επιβεβαίωση αφαιρεί το όριο και ξεκλειδώνει πλήρη έναρξη. Το στούντιο πρέπει να το κάνει μόνο του — ο λογαριασμός WhatsApp ανήκει σε εσάς και η Velora δεν μπορεί να ενεργήσει εκ μέρους σας.
wa.verify.stepsTitle	Πώς να επιβεβαιώσετε την επιχείρηση:
wa.verify.step1a	Ανοίξτε το
wa.verify.link	Κέντρο Ασφαλείας Meta Business
wa.verify.step1b	και επιλέξτε «Έναρξη επιβεβαίωσης». Χρειάζεστε δικαιώματα διαχειριστή στον εταιρικό λογαριασμό.
wa.verify.step2	Συμπληρώστε τα νομικά στοιχεία: το όνομα ακριβώς όπως στα έγγραφα, διεύθυνση, τηλέφωνο και ιστότοπο. Ο ιστότοπος πρέπει να λειτουργεί και να χρησιμοποιεί HTTPS.
wa.verify.step3	Ανεβάστε έγγραφο εγγραφής επιχείρησης και περιμένετε να το ελέγξει η Meta.
wa.verify.step4	Επιβεβαιώστε τη σύνδεσή σας με την επιχείρηση: email στο domain του ιστότοπου, κλήση ή SMS στο δηλωμένο τηλέφωνο ή επιβεβαίωση domain.
wa.verify.step5	Περιμένετε την απόφαση — συνήθως 1–5 εργάσιμες ημέρες. Η κατάσταση εμφανίζεται στο ίδιο Κέντρο Ασφαλείας· σε απόρριψη, η Meta δηλώνει τον λόγο και επιτρέπει νέα αίτηση.
wa.verify.docsTitle	Αποδεκτά έγγραφα (ένα από κάθε ομάδα):
wa.verify.doc1	Εγγραφή: πιστοποιητικό σύστασης, απόσπασμα μητρώου, άδεια επιχείρησης ή φορολογικό έγγραφο.
wa.verify.doc2	Απόδειξη παρουσίας: λειτουργικός ιστότοπος, επίσημη σελίδα κοινωνικών μέσων ή καταχώριση σε επαγγελματικό κατάλογο.
wa.verify.pitfallTitle	Η συνηθέστερη απόρριψη
wa.verify.pitfall	Το όνομα της επιχείρησης στη Meta και στο έγγραφο πρέπει να ταιριάζει χαρακτήρα προς χαρακτήρα, μαζί με τη νομική μορφή και τη στίξη. Τα «Romashka LLC» και «Romashka, LLC» θεωρούνται διαφορετικά ονόματα.
wa.templatesTitle	Πρότυπα μηνυμάτων
wa.templates	Η Meta δεν σας επιτρέπει να στείλετε πρώτοι μήνυμα σε πελάτη χωρίς προεγκεκριμένο πρότυπο. Δημιουργήστε πρότυπα για κάθε συμβάν — θα ελεγχθούν και θα λειτουργήσουν μετά την έγκριση.
wa.templatesAction	Προετοιμασία προτύπων
wa.templatesPending	Δημιουργία προτύπων…
wa.templatesDone_one	Πρότυπα έτοιμα: {{count}}. Αναμένεται έλεγχος Meta
wa.templatesDone_other	Πρότυπα έτοιμα: {{count}}. Αναμένεται έλεγχος Meta
wa.templatesPartial	Η Meta απέρριψε ορισμένα πρότυπα: {{failed}}. Δείτε το αρχείο καταγραφής για λεπτομέρειες
wa.templatesRejectedTitle_one	Η Meta απέρριψε {{count}} πρότυπο
wa.templatesRejectedTitle_other	Η Meta απέρριψε {{count}} πρότυπα
wa.templatesRejected	— αυτές οι ειδοποιήσεις δεν παραδίδονται. Ελέγξτε τη διατύπωση στον λογαριασμό Meta και δημιουργήστε ξανά τα πρότυπα.
wa.templatesPendingTitle_one	{{count}} πρότυπο υπό έλεγχο
wa.templatesPendingTitle_other	{{count}} πρότυπα υπό έλεγχο
wa.templatesPendingHint	— η Meta μπορεί να χρειαστεί έως μία ημέρα. {{approved}} έχουν ήδη εγκριθεί και παραδίδονται.
wa.templatesOkTitle	Τα πρότυπα εγκρίθηκαν
wa.templatesOk_one	{{count}} πέρασε τον έλεγχο Meta — οι ειδοποιήσεις παραδίδονται.
wa.templatesOk_other	Και τα {{count}} πέρασαν τον έλεγχο Meta — οι ειδοποιήσεις παραδίδονται.
wa.paidWarning	Τα μηνύματα WhatsApp χρεώνονται
wa.approxPrice	περ.
wa.pricingLoading	Φόρτωση τρέχουσας τιμής…
wa.perMessage	ανά μήνυμα
wa.viaMeta	χρεώνεται απευθείας από τη Meta
wa.windowNotice	Η παράδοση εγγυάται μόνο εντός του παραθύρου συνομιλίας 24 ωρών.
wa.connect	Σύνδεση WhatsApp
wa.disconnect	Αποσύνδεση
wa.disconnectTitle	Αποσύνδεση WhatsApp;
wa.disconnectMessage	Οι πελάτες και το προσωπικό θα σταματήσουν να λαμβάνουν ειδοποιήσεις από αυτό το κανάλι.
wa.close	Κλείσιμο
wa.cancel	Ακύρωση
tabs.matrix	Ρυθμίσεις
tabs.log	Αρχείο αποστολών
log.title	Αρχείο αποστολών
log.subtitle	Τι στάλθηκε, σε ποιον και πότε, και πώς ολοκληρώθηκε κάθε αποστολή.
log.status.sent	Παραδόθηκε
log.status.rejected	Απορρίφθηκε
log.status.error	Αποτυχία σύνδεσης
log.status.pending	Σε εξέλιξη
log.searchPlaceholder	Τηλέφωνο, email ή κωδικός συμβάντος
log.allChannels	Όλα τα κανάλια
log.reset	Επαναφορά
log.refreshing	Ανανέωση…
log.otherEvent	Αποστολή εκτός καταλόγου
log.empty	Δεν έχει σταλεί τίποτα ακόμη
log.emptyHint	Κάθε ειδοποίηση που στέλνει το στούντιο σε πελάτες και προσωπικό θα εμφανίζεται εδώ.
log.emptyFiltered	Δεν βρέθηκε τίποτα
log.emptyFilteredHint	Δοκιμάστε να αλλάξετε τα φίλτρα ή να αναζητήσετε άλλο αριθμό.
log.loadError	Δεν ήταν δυνατή η φόρτωση του αρχείου
log.loadErrorHint	Ανανεώστε τη σελίδα — αν δεν βοηθήσει, επικοινωνήστε με την υποστήριξη.
log.range	{{from}}–{{to}} από {{total}}
log.prev	Πίσω
log.next	Επόμενο
