== da
nav.sectionLabel	Systemindstillinger
integrations.guide.instagram.steps.4	Uden Metas godkendelse virker forbindelsen kun for appens testkonti
integrations.guide.google_calendar.steps.0	Klik på Forbind — et Google-log ind-vindue åbnes
integrations.guide.google_calendar.steps.1	Vælg den konto, som studiets kalender er knyttet til
integrations.guide.google_calendar.steps.2	Giv adgang til kalenderen — hold vises derefter automatisk i den
integrations.capabilities.notify	klientnotifikationer på denne kanal
integrations.capabilities.booking	onlinebooking via denne kanal
integrations.capabilities.dm_agent	AI-agent til automatiske svar i Direct
integrations.capabilities.schedule_sync	kalendersynkronisering med Google Calendar
integrations.disconnect.title	Afbryd {{name}}?
integrations.disconnect.willStop	Dette holder op med at virke:
integrations.disconnect.checkbox	Jeg forstår konsekvenserne
integrations.disconnect.cancel	Annuller
integrations.disconnect.confirm	Afbryd forbindelse
integrations.google.connected	Google Calendar er forbundet
integrations.google.denied	Adgang til Google Calendar blev ikke givet
integrations.google.error	Kunne ikke forbinde Google Calendar
integrations.google.primary	primær
integrations.google.calendar	Kalender
integrations.google.selectCalendar	Vælg en kalender
integrations.google.loadingCalendars	Indlæser kalendere…
integrations.google.syncMode	Synkroniseringstilstand
integrations.google.syncModeOptions.push	Kun fra CRM til Google
integrations.google.syncModeOptions.two_way	Tovejs
integrations.google.syncNow	Synkronisér nu
integrations.google.lastSync	Sidst synkroniseret: {{date}}
integrations.google.neverSynced	Endnu ikke synkroniseret
integrations.google.timezoneWarning	Studiets tidszone er ikke angivet — begivenheder sendes i UTC og kan afvige fra de faktiske holdtidspunkter. Angiv tidszonen under Generelt.
integrations.google.syncResult	Synkroniseret: {{pushed}} sendt, {{pulled}} hentet
integrations.google.settingsSaved	Indstillinger for Google Calendar er gemt
integrations.toast.connected	Integrationen er forbundet
integrations.toast.disconnected	Integrationen er afbrudt
data.export.title	Eksportér rapporter og lister
data.export.subtitle	Download filer i tabelformater til regnskab og analyse
data.export.clearFilter	Ryd periode
data.export.items.clients.name	Klientliste
data.export.items.schedule.name	Journal- og bookinghistorik
data.export.items.finances.name	Finansiel rapport
data.export.items.subscriptions.name	Klientabonnementer
data.export.rows_one	{{count}} post
data.export.rows_other	{{count}} poster
data.export.loading	Indlæser...
data.export.empty	Ingen data for denne periode
