== pl
legal.terms	Warunki świadczenia usług
savings.forMonths_many	Za {{count}} miesięcy
pay	Zapłać
continuePlan	Kontynuuj plan
payModal.titleNew	Rozpocznij plan {{plan}}
payModal.titleSwitch	Przejdź na {{plan}}
payModal.titleRenew	Odnów {{plan}}
payModal.totalLabel	Twój plan będzie kosztować
payModal.burnWarning	Przejście na inny plan uruchamia okres od nowa: pozostała część Twojego planu {{plan}} PRZEPADA — nie jest zwracana ani przenoszona. Odnowienie tego samego planu ją zachowuje.
payModal.switched	Plan został zmieniony: nie ma nic do zapłaty — zmiana została pokryta z pozostałej części bieżącego okresu.
payModal.renewNote	To odnawia ten sam plan: kupione miesiące zostaną dodane do obecnego opłaconego okresu. Nic nie przepada.
payModal.cardNote	Płatność kartą na bezpiecznej stronie Stripe · zwrot w ciągu 7 dni
payModal.freeUntil	Do {{date}} nic nie zostanie pobrane: pozostało Ci {{count}} dni opłaconego okresu. Rozliczenia rozpoczną się tego dnia.
payModal.taxLabel	VAT
payModal.taxLine	VAT {{rate}}%
payModal.reverseCharge	Odwrotne obciążenie
payModal.totalWithTax	Łącznie z VAT
payModal.taxServerNote	Podatek jest obliczany na podstawie danych rozliczeniowych. Faktura pokaże tę samą kwotę.
payModal.taxReview	Nie mogliśmy ustalić podatku na podstawie danych rozliczeniowych, dlatego suma jest pokazana bez niego i płatność nie może zostać zakończona. Sprawdź kraj i adres płatnika lub skontaktuj się ze wsparciem.
offlineFee.title	Opłata za sprzedaż offline
offlineFee.accruing	Naliczona z gotówki i depozytów według stawki {{rate}}%. Faktura jest wystawiana co miesiąc; masz {{days}} dni na zapłatę.
offlineFee.due	Faktura została wystawiona. Pozostało dni na płatność: {{days}}.
offlineFee.suspended	Płatność jest po terminie — dostęp do CRM i miniaplikacji został zawieszony.
offlineFee.pay	Zapłać
offlineFee.suspendedMin	Minimalna miesięczna opłata jest po terminie — dostęp do CRM i miniaplikacji został zawieszony.
offlineFee.alsoAccruing	Dodatkowo nalicza się w tym miesiącu: {{amount}} — trafi na następną fakturę.
offlineFee.minimum	Minimalna miesięczna opłata wynosi {{amount}}. Jeśli zarobisz mniej w ciągu miesiąca, dopłacisz różnicę; jeśli więcej, faktura nie zostanie wystawiona.
offlineFee.pendingBill	Naliczono według poprzedniego modelu, oczekuje na fakturę.
offlineFee.notBilledYet	Faktura nie została jeszcze wystawiona: naliczona kwota jest niższa niż minimalna kwota faktury lub faktura jest nadal przygotowywana. Nic nie przepada — trafi na następną fakturę.
trial.title	Oferta dla nowych studiów
trial.subtitle	Twoje studio zostało właśnie utworzone
trial.headline	{{days}} dni za darmo
trial.noCard	Karta nie jest wymagana — teraz nie masz nic do zapłaty
trial.perks.allModules	Pełny dostęp do każdego modułu: terminarza, klientów, finansów, powiadomień i Velora AI
trial.perks.noCommitment	Bez zobowiązań: jeśli nie pasuje, po prostu nie odnawiaj
trial.perks.keepData	Wszystko, co dodasz w okresie próbnym, pozostaje Twoje
trial.activate	Aktywuj
trial.decline	Odrzuć
trial.cardHint	Nie aktywowano jeszcze bezpłatnego okresu dla tego studia. Pozostanie dostępny, dopóki nie kupisz planu.
profile.title	Dane rozliczeniowe
profile.editTitle	Edytuj dane rozliczeniowe
profile.subtitle	Twój adres trafia na fakturę i określa stawkę podatku. Jest zapisany na koncie — nie zapytamy ponownie w innym studiu.
profile.subtitlePay	Wypełnij raz, a następnym razem płatność przejdzie od razu. Twój adres trafia na fakturę i określa stawkę podatku.
profile.cardTitle	Dane rozliczeniowe
profile.cardSubtitle	Są zapisane na Twoim koncie i używane we wszystkich studiach. Tak pojawiają się na fakturze.
profile.cardEmpty	Jeszcze nie wypełniono — poprosimy o nie przed pierwszą płatnością. Możesz dodać je teraz.
profile.add	Dodaj dane rozliczeniowe
profile.edit	Edytuj
profile.save	Zapisz
profile.saveAndPay	Zapisz i przejdź do płatności
profile.cancel	Anuluj
profile.saved	Dane rozliczeniowe zapisano
profile.vatNone	Nie podano
profile.fields.country	Kraj lub region
profile.fields.countryPlaceholder	Wybierz kraj
profile.fields.address	Adres
profile.fields.line1	Wiersz adresu 1
profile.fields.line1Placeholder	Ulica i numer
profile.fields.line2	Wiersz adresu 2 — opcjonalnie
profile.fields.line2Placeholder	Mieszkanie, lokal, numer jednostki itp.
profile.fields.postalCode	Kod pocztowy
profile.fields.postalCodePlaceholder	110 00
profile.fields.city	Miasto
profile.fields.cityPlaceholder	Praga
profile.fields.vat	Numer VAT — opcjonalnie
profile.fields.vatPlaceholder	{{prefix}}12345678
profile.fields.vatHint	Tylko dla firm. Numer jest sprawdzany w rejestrze UE (VIES) podczas zapisywania — nie przyjmujemy niezweryfikowanych numerów. Dzięki prawidłowemu numerowi firma w innym kraju UE jest fakturowana bez podatku (odwrotne obciążenie). Osoby prywatne go nie mają — pozostaw pole puste.
profile.fields.countrySearch	Zacznij wpisywać nazwę
profile.fields.countryNotFound	Nie znaleziono kraju
profile.fields.vatOutsideEu	Nie prosimy o numer VAT: poza UE podatek zależy od kraju płatnika, a nie od numeru, więc nie wpływa on na fakturę.
profile.fields.vatPending	Twój numer został zapisany, ale rejestr UE był wówczas niedostępny, więc nie jest jeszcze potwierdzony i następna faktura obejmie pełny VAT. Nie musisz wpisywać go ponownie: będziemy go dalej sprawdzać, a gdy tylko rejestr odpowie, podatek przestanie być naliczany. W przypadku już opłaconej faktury wsparcie zwróci podatek.
profile.errors.required	To pole jest wymagane
profile.preview.invoice	Faktura
profile.preview.billTo	Nabywca
profile.preview.note	Tak Twoje dane będą widoczne na każdej fakturze. Możesz je zmienić w dowolnym momencie w Plan i rozliczenia → Metoda płatności.
