== no
tabs.accounts	Kontoer
operations.categoryPresets.out.0.label	Refusjoner
operations.categoryPresets.out.1.value	Leie
operations.categoryPresets.out.1.label	Leie
operations.categoryPresets.out.2.value	Lønn
operations.categoryPresets.out.2.label	Lønn
operations.categoryPresets.out.3.value	Innkjøp
operations.categoryPresets.out.3.label	Innkjøp
operations.categoryPresets.out.4.value	Markedsføring
operations.categoryPresets.out.4.label	Markedsføring
operations.categoryPresets.out.5.value	Skatter
operations.categoryPresets.out.5.label	Skatter
operations.categoryPresets.out.6.value	Annet
operations.categoryPresets.out.6.label	Annet
salaries.loading	Laster lønn…
salaries.noRows	Ingen ansatte å beregne for
salaries.fund	Lønnsfond
salaries.fundSub	denne måneden
salaries.sessions	Økter
salaries.sessionsSub	totalt avholdt
salaries.paidOf	ansatte
salaries.sessionsCount	{{count}} økter
salaries.paid	Betalt
salaries.pending	Avventer
salaries.paying	…
salaries.payAction	Betal
salaries.cancelAction	Avbryt lønn
salaries.perMonth	/mnd.
salaries.accrualTitle	Opptjening for periode
salaries.rate	Sats
salaries.rateNotSet	ikke angitt
salaries.sessionsInPeriod	Økter i perioden
salaries.hoursWorked	Arbeidede timer
salaries.lessonsRevenue	Inntekt fra økter
salaries.totalToPay	Totalt å betale
salaries.rateWarning	Satsen er ikke angitt — sett den i den ansattes profil slik at opptjeningen kan beregnes.
salaries.rateUnit.hourly	t
salaries.rateUnit.percent	%
salaries.rateUnit.fixed	fast
salaries.paidAt	Betalt {{date}}
salaries.historyTitle	Betalingshistorikk
salaries.historyEmpty	Ingen betalinger ennå
salaries.historyLoading	Laster historikk…
salaries.toasts.loadFailed	Kunne ikke laste lønn
salaries.toasts.paid	Lønn utbetalt: {{name}}
salaries.toasts.payFailed	Kunne ikke betale lønn
salaries.toasts.canceled	Lønn avbrutt: {{name}}
salaries.toasts.historyLoadFailed	Kunne ikke laste betalingshistorikk
counterparties.count	{{count}} motparter
counterparties.totalDebt	Total gjeld:
counterparties.add	Legg til
counterparties.newTitle	Ny motpart
counterparties.nameLabel	Navn / Fullt navn
counterparties.namePlaceholder	Selskap AS eller Ola Nordmann
counterparties.innLabel	Skatte-ID
counterparties.categoryLabel	Kategori
counterparties.categoryPlaceholder	Leie, leverandør…
counterparties.typeLabel	Type motpart
counterparties.types.legal.label	Juridisk person
counterparties.types.legal.desc	Organisasjon eller selskap
counterparties.types.ie.label	Enkeltpersonforetak
counterparties.types.ie.desc	Selvstendig næringsdrivende
counterparties.types.person.label	Privatperson
counterparties.types.person.desc	Fysisk person
counterparties.addSubmit	Legg til motpart
counterparties.you	Du
counterparties.otherCategory	Annet
counterparties.deals	avtaler
counterparties.dealsLabel	Avtaler
counterparties.debtLabel	Gjeld
counterparties.documents	Dokumenter
counterparties.edit	Rediger
counterparties.delete	Slett
counterparties.deleteConfirmTitle	Slette motpart?
counterparties.deleteConfirmText	Tilknyttede dokumenter og avtaleloggen beholdes, men motparten fjernes fra listen.
counterparties.toasts.loadFailed	Kunne ikke laste motparter
counterparties.toasts.enterName	Oppgi et navn
counterparties.toasts.saved	Endringer lagret
counterparties.toasts.saveFailed	Kunne ikke lagre
counterparties.toasts.added	Motpart lagt til
counterparties.toasts.addFailed	Kunne ikke legge til motpart
counterparties.toasts.deleted	Motpart slettet
counterparties.toasts.deleteFailed	Kunne ikke slette motpart
counterparties.toasts.documentsOpened	Dokumenter åpnet
documents.signed	Signert
documents.pendingCount	Avventer signatur
documents.draftCount	Internt (usignert)
documents.searchPlaceholder	Søk etter tittel eller motpart…
documents.filters.all	Alle
documents.filters.signed	Signert
documents.filters.pending	Avventer signatur
documents.upload	Last opp
documents.addTitle	Legg til dokument i biblioteket
documents.dropzoneTitle	Klikk eller dra en fil
documents.dropzoneHint	PDF, DOCX, XLSX (opptil 15 MB)
documents.dropzoneChange	Klikk for å velge en annen fil
documents.titleLabel	Dokumenttittel
documents.titlePlaceholder	F.eks. mottaksprotokoll nr. 48
documents.partyLabel	Motpart (hvis noen)
documents.partyPlaceholder	Navn på selskap eller enkeltpersonforetak
documents.needsSignature	Trenger dokumentet en signatur?
documents.needsSignatureHint	Status blir «Avventer signatur»
documents.saveToBase	Lagre i biblioteket
documents.emptyTitle	Denne mappen er tom
documents.emptyBody	Last opp et nytt dokument eller endre filtrene
documents.internalDoc	Internt dokument
documents.uploaded	Lastet opp {{date}}
documents.download	Last ned
documents.open	Åpne
documents.fileRequired	Legg ved en fil
documents.options	Alternativer
documents.status.title	Status
documents.status.signed	Signert
documents.status.pending	Avventer signatur
documents.status.draft	Usignert
documents.delete	Slett
documents.toasts.loadFailed	Kunne ikke laste dokumenter
documents.toasts.titleRequired	Last opp en fil eller skriv inn en tittel
documents.toasts.created	Dokumentet er lastet opp til biblioteket
documents.toasts.createFailed	Kunne ikke lagre dokumentet
documents.toasts.badFormat	Tillatte formater: PDF, DOCX, XLSX
documents.toasts.downloadFailed	Kunne ikke laste ned filen
documents.toasts.noFile	Ingen fil er vedlagt dette dokumentet
documents.toasts.openFailed	Kunne ikke åpne filen
documents.toasts.statusChanged	Status: {{label}}
documents.toasts.statusFailed	Kunne ikke endre status
documents.toasts.deleted	Dokumentet er slettet
documents.toasts.deleteFailed	Kunne ikke slette dokumentet
goals.loading	Laster mål…
goals.active	Mål underveis
goals.done	Fullført
goals.avgProgress	Samlet fremdrift
goals.trackingTitle	Planoppfølging
goals.createGoal	Opprett mål
goals.newTitle	Nytt økonomisk mål
goals.titleLabel	Måltittel
goals.titlePlaceholder	F.eks. nye reformer-maskiner
goals.targetLabel	Målbeløp, {{symbol}}
goals.targetPlaceholder	500000
goals.deadlineLabel	Frist
goals.trackingLabel	Hvordan spore fremdrift?
goals.trackingAuto	Automatisk (CRM-måling)
goals.trackingAutoDesc	Knytt målet til inntekt fra en valgt kategori. CRM flytter selv fremdriftslinjen.
goals.trackingManual	Manuelt (personlig sparing)
goals.trackingManualDesc	En «Legg til midler»-knapp vises på kortet. Fremdriften avhenger bare av deg.
goals.opTypeLabel	Type transaksjon
goals.categoryLabel	Kategori
goals.categoryPlaceholder	Velg en kategori
goals.editTitle	Rediger mål
goals.nameLabel	Tittel
goals.namePlaceholder	Måltittel
goals.amountLabel	Beløp, {{symbol}}
goals.achieved	Mål oppnådd
goals.priority.high	Høy prioritet
goals.priority.medium	Middels prioritet
goals.priority.low	Lav prioritet
goals.autoCollect	Sporing automatisk
goals.deadlinePrefix	Frist:
goals.noDeadline	Ingen frist
goals.fundPlaceholder	Beløp, {{symbol}}
goals.fund	Legg til
goals.addFunds	Legg til midler
goals.autoHint	Verdien oppdateres automatisk fra kategoriinntekt
goals.deleteConfirmTitle	Slette mål?
goals.deleteConfirmText	Fremdriften for dette målet går tapt. Handlingen kan ikke angres.
goals.toasts.loadFailed	Kunne ikke laste mål
goals.toasts.fillRequired	Fyll ut tittel og beløp
goals.toasts.chooseCategory	Velg en kategori for det automatiske målet
goals.toasts.created	Mål opprettet
goals.toasts.createFailed	Kunne ikke opprette mål
goals.toasts.enterName	Oppgi et navn
goals.toasts.updated	Mål oppdatert
goals.toasts.updateFailed	Kunne ikke oppdatere mål
goals.toasts.deleted	Mål slettet
goals.toasts.deleteFailed	Kunne ikke slette mål
goals.toasts.funded	Midler lagt til
goals.toasts.fundFailed	Kunne ikke legge til midler
onlinePayments.description	Koble til Stripe, så kan kundene dine betale med kort i kassen. Pengene går direkte til studioets konto — Velora holder dem aldri. Provisjonen følger planen din.
onlinePayments.gatewaysTitle	Betalingsleverandører
onlinePayments.gateways.stripe.name	Stripe
onlinePayments.gateways.states.none.label	Ikke koblet til
onlinePayments.gateways.states.none.hint	Ta imot kortbetalinger på studioets konto
onlinePayments.gateways.states.none.action	Koble til
onlinePayments.gateways.states.incomplete.label	Opplysninger mangler
onlinePayments.gateways.states.incomplete.hint	Stripe venter på studioopplysningene dine — betalinger forblir avslått til da
onlinePayments.gateways.states.incomplete.action	Fortsett
onlinePayments.gateways.states.action.label	Handling kreves
onlinePayments.gateways.states.action.hint	Stripe avviste enkelte opplysninger og venter på rettelser — det løser seg ikke av seg selv
onlinePayments.gateways.states.action.action	Rett opplysninger
onlinePayments.gateways.states.review.label	Under gjennomgang
onlinePayments.gateways.states.review.hint	Opplysningene er sendt inn, og Stripe går gjennom dem. Dette tar vanligvis opptil én dag
onlinePayments.gateways.states.review.action	Åpne Stripe
onlinePayments.gateways.states.active.label	Koblet til
onlinePayments.gateways.states.active.hint	Kortbetalinger går inn på studioets Stripe-konto
onlinePayments.gateways.states.active.action	Innstillinger
onlinePayments.toasts.gatewayUpdated	Innstillingene for betalingsleverandør er oppdatert
onlinePayments.toasts.stripeReturned	Opplysninger sendt til Stripe
onlinePayments.toasts.stripeLinkExpired	Stripe-lenken har utløpt — trykk Koble til på nytt
paymentMethods.totalTurnover	Omsetning for perioden
paymentMethods.periods.month	Måned
paymentMethods.periods.quarter	Kvartal
paymentMethods.periods.year	År
paymentMethods.amount	Beløp
paymentMethods.share	Andel
paymentMethods.transactions	transaksjoner
paymentMethods.methods.cash.name	Kontanter
paymentMethods.methods.card.name	Bankkort
paymentMethods.methods.qr.name	SBP (QR)
paymentMethods.methods.transfer.name	Overføring
paymentMethods.methods.stripe.name	Stripe
paymentMethods.methods..name	Ikke angitt
reports.metrics.revenue	Inntekt
reports.metrics.expenses	Utgifter
reports.metrics.profit	Fortjeneste
reports.metrics.margin	Margin
reports.vsPreviousPeriod	sammenlignet med forrige periode
reports.cashflowTitle	Kontantstrøm
reports.cashflowSub	Analyse av inntekter og utgifter
reports.period	Periode
reports.income	Inntekt
reports.expense	Utgift
reports.profit	Fortjeneste
reports.periods.today	I dag
reports.periods.week	Uke
reports.periods.month	Måned
reports.periods.year	År
reports.legendIncome	Inntekt
reports.legendExpense	Utgifter
reports.exportCsv	Eksporter CSV
reports.expenseStructure	Utgiftsfordeling
reports.incomeStructure	Inntektsfordeling
reports.total	Totalt
reports.otherCategory	Ukategorisert
reports.noData	Ingen data for denne perioden
reports.insightsTitle	Økonomisk sammendrag og innsikt
reports.insightsPlaceholder	Et AI-basert økonomisk sammendrag vises her: trendanalyse, utgiftsfordeling og anbefalinger
reports.toasts.exportFailed	Kunne ikke eksportere transaksjoner
confirmModal.cancel	Avbryt
confirmModal.confirm	Bekreft
confirmModal.delete	Slett
