== it
tabs.studios	Studi
studios.hallsTitle	{{spacePlural, capitalize}} dello studio
studios.hallCount_one	{{spacePlural, capitalize}} · {{count}}
studios.hallCount_other	{{spacePlural, capitalize}} · {{count}}
studios.stats.halls	{{spacePlural, capitalize}}
studios.stats.totalSeats	Posti totali
studios.stats.fromPerHour	Da / ora
studios.hall.seats	posti
studios.hall.schedule	Orari di apertura
studios.hall.closed	Chiuso
studios.hall.stats.seats	Posti
studios.hall.stats.area	Superficie
studios.hall.stats.perHour	All'ora
studios.hall.equipment	Attrezzatura
studios.hall.actions	Azioni
studios.hall.edit	Modifica {{spaceAcc}}
studios.hall.delete	Elimina {{spaceAcc}}
studios.empty.title	Nessuno studio
studios.empty.subtitle	Aggiungi il tuo primo studio
studios.toasts.created	Studio creato
studios.toasts.createError	Impossibile creare lo studio
studios.toasts.deleted	Studio eliminato
studios.toasts.hallDeleted	Eliminato: {{space}}
studios.toasts.saved	Salvato
studios.toasts.edit	Modifica: {{name}}
studios.confirmDelete	Eliminare la sede «{{name}}»? L'azione non può essere annullata.
studios.confirmDeleteTitle	Eliminare la sede?
studios.confirmDeleteHall	Eliminare {{spaceAcc}} «{{name}}»?
studios.confirmDeleteHallTitle	Eliminare {{spaceAcc}}?
services.title	SERVIZI
services.addService	Aggiungi servizio
services.types.group	Gruppo
services.types.individual	Indiv.
services.types.groupFull	 · Gruppo
services.types.individualFull	 · Individuale
services.stats.price	Prezzo
services.stats.duration	Durata
services.stats.bookings	Prenotazioni
services.stats.revenue	Ricavi
services.details.description	Descrizione
services.details.details	Dettagli
services.details.minutes	minuti
services.details.upTo	Fino a {{count}} pers.
services.details.personal	Individuale
services.details.bookingsPerMonth	prenotazioni in 30 giorni
services.details.schedule	Calendario delle lezioni
services.empty.title	Nessun servizio
services.empty.subtitle	Aggiungi il tuo primo servizio
services.toasts.deleted	Servizio eliminato
services.toasts.deleteError	Impossibile eliminare il servizio
services.toasts.saved	Salvato
services.toasts.saveError	Impossibile salvare il servizio
services.toasts.edit	Modifica: {{name}}
services.confirmDelete	Eliminare il servizio «{{name}}»?
services.confirmDeleteTitle	Eliminare il servizio?
services.categories.yoga	Yoga
services.categories.pilates	Pilates
services.categories.stretching	Stretching
services.categories.individual	Individuale
services.categories.other	Senza categoria
subscriptions.title	ABBONAMENTI
subscriptions.addPackage	Aggiungi pacchetto
subscriptions.card.classCount_one	{{count}} lezione
subscriptions.card.classCount_other	{{count}} lezioni
subscriptions.card.duration	{{count}} giorni
subscriptions.card.allServices	Tutte le lezioni
subscriptions.card.serviceCount_one	{{count}} servizio
subscriptions.card.serviceCount_other	{{count}} servizi
subscriptions.card.inactiveBadge	Ritirato dalla vendita
subscriptions.settings.title	Impostazioni del programma
subscriptions.settings.allowFreeze	Sospensione dell'abbonamento
subscriptions.settings.allowTransfer	Trasferimento a un altro cliente
subscriptions.settings.autoRenewal	Rinnovo automatico dal deposito del cliente
subscriptions.empty.title	Ancora nessun pacchetto
subscriptions.empty.cta	Crea pacchetto
subscriptions.toasts.created	Pacchetto creato
subscriptions.toasts.saved	Salvato
subscriptions.toasts.saveError	Impossibile salvare il pacchetto
subscriptions.toasts.deactivated	Pacchetto ritirato dalla vendita
subscriptions.toasts.restored	Pacchetto rimesso in vendita
subscriptions.toasts.actionError	Impossibile completare l'azione
subscriptions.deactivate	Ritira dalla vendita
subscriptions.restore	Rimetti in vendita
subscriptions.confirmDeactivateTitle	Ritirare questo pacchetto dalla vendita?
subscriptions.confirmDeactivate	Gli abbonamenti già venduti continueranno a funzionare.
