== hr
tabs.studios	Studiji
studios.hall.actions	Radnje
studios.hall.edit	Uredi {{spaceAcc}}
studios.hall.delete	Izbriši {{spaceAcc}}
studios.empty.title	Nema studija
studios.empty.subtitle	Dodajte svoj prvi studio
studios.toasts.created	Studio izrađen
studios.toasts.createError	Studio nije moguće izraditi
studios.toasts.deleted	Studio izbrisan
studios.toasts.hallDeleted	Izbrisano: {{space}}
studios.toasts.saved	Spremljeno
studios.toasts.edit	Uredi: {{name}}
studios.confirmDelete	Izbrisati poslovnicu „{{name}}”? Ova se radnja ne može poništiti.
studios.confirmDeleteTitle	Izbrisati poslovnicu?
studios.confirmDeleteHall	Izbrisati {{spaceAcc}} „{{name}}”?
studios.confirmDeleteHallTitle	Izbrisati {{spaceAcc}}?
services.title	USLUGE
services.addService	Dodaj uslugu
services.types.group	Grupna
services.types.individual	Indiv.
services.types.groupFull	 · Grupna
services.types.individualFull	 · Individualna
services.stats.price	Cijena
services.stats.duration	Trajanje
services.stats.bookings	Rezervacije
services.stats.revenue	Prihod
services.details.description	Opis
services.details.details	Detalji
services.details.minutes	minuta
services.details.upTo	Do {{count}} os.
services.details.personal	Individualna
services.details.bookingsPerMonth	rezervacija u 30 dana
services.details.schedule	Raspored sati
services.empty.title	Nema usluga
services.empty.subtitle	Dodajte svoju prvu uslugu
services.toasts.deleted	Usluga izbrisana
services.toasts.deleteError	Uslugu nije moguće izbrisati
services.toasts.saved	Spremljeno
services.toasts.saveError	Uslugu nije moguće spremiti
services.toasts.edit	Uredi: {{name}}
services.confirmDelete	Izbrisati uslugu „{{name}}”?
services.confirmDeleteTitle	Izbrisati uslugu?
services.categories.yoga	Yoga
services.categories.pilates	Pilates
services.categories.stretching	Istezanje
services.categories.individual	Individualna
services.categories.other	Nekategorizirano
subscriptions.title	ČLANARINE
subscriptions.addPackage	Dodaj paket
subscriptions.card.classCount_one	{{count}} sat
subscriptions.card.classCount_few	{{count}} sata
subscriptions.card.classCount_other	{{count}} sati
subscriptions.card.duration	{{count}} dana
subscriptions.card.allServices	Svi satovi
subscriptions.card.serviceCount_one	{{count}} usluga
subscriptions.card.serviceCount_few	{{count}} usluge
subscriptions.card.serviceCount_other	{{count}} usluga
subscriptions.card.inactiveBadge	Povučen iz prodaje
subscriptions.settings.title	Postavke programa
subscriptions.settings.allowFreeze	Zamrzavanje članarine
subscriptions.settings.allowTransfer	Prijenos drugom klijentu
subscriptions.settings.autoRenewal	Automatska obnova s depozita klijenta
subscriptions.empty.title	Još nema paketa
subscriptions.empty.cta	Izradi paket
subscriptions.toasts.created	Paket izrađen
subscriptions.toasts.saved	Spremljeno
subscriptions.toasts.saveError	Paket nije moguće spremiti
subscriptions.toasts.deactivated	Paket povučen iz prodaje
subscriptions.toasts.restored	Paket ponovno u prodaji
subscriptions.toasts.actionError	Radnju nije moguće dovršiti
subscriptions.deactivate	Povuci iz prodaje
subscriptions.restore	Vrati u prodaju
subscriptions.confirmDeactivateTitle	Povući ovaj paket iz prodaje?
subscriptions.confirmDeactivate	Već prodane članarine nastavit će raditi.
