== fi
telegram.tokenLabel	Botin tunniste
agents.tone.neutral	Neutraali
agents.maxLengthLabel	Vastauksen enimmäispituus (merkkiä)
agents.maxLengthError	Anna luku väliltä 50–4000
agents.offHoursLabel	Automaattivastaus vain työajan ulkopuolella
agents.promptHint	Tämä teksti määrittää agentin persoonallisuuden — miten se viestii, mitä se tietää ja mitä aiheita se välttää.
agents.promptPlaceholder	Olet kohtelias studioavustaja...
agents.promptCount_one	{{count}} / 2000 merkki
agents.promptCount_other	{{count}} / 2000 merkkiä
agents.tgChannelInactive	Telegram-kanava on pois käytöstä verkkovarauksessa — botti ei vastaanota viestejä, joten agentti pysyy hiljaa.
errors.tg_token_required	Yhdistä ensin Telegram-botti — tunnistetta ei ole vielä tallennettu.
errors.ig_not_connected	Instagramia ei ole vielä yhdistetty.
errors.wa_not_connected	WhatsApp-numeroa ei ole vielä yhdistetty — yhdistä se Ilmoituksissa.
errors.assistant_unavailable	Avustaja ei ole tilapäisesti käytettävissä — yritä myöhemmin uudelleen.
errors.trial_exhausted	Olet käyttänyt kaikki 500 AI-avustajan kokeilupyyntöä. Valitse maksullinen paketti jatkaaksesi.
errors.quota_exceeded	Olet käyttänyt kaikki tämän paketin AI-pyynnöt. Raja nollautuu kuukauden alussa — tai päivitä pakettisi.
toasts.settingsSaved	Asetukset tallennettu
toolStatus.add_client_note	Kirjoitetaan muistiinpanoa…
toolStatus.add_client_tag	Lisätään tunnistetta…
toolStatus.add_loyalty_points	Lisätään pisteitä…
toolStatus.book_client	Varataan tuntia…
toolStatus.cancel_booking	Perutaan varausta…
toolStatus.pay_booking	Kirjataan tunnin maksua…
toolStatus.clear_schedule	Tyhjennetään aikataulua…
toolStatus.create_account	Luodaan tiliä…
toolStatus.create_branch	Luodaan toimipistettä…
toolStatus.create_client	Luodaan asiakasta…
toolStatus.create_counterparty	Luodaan vastapuolta…
toolStatus.create_hall	Luodaan salia…
toolStatus.create_lesson	Luodaan tuntia…
toolStatus.create_operation	Kirjataan tapahtumaa…
toolStatus.create_package	Luodaan pakettia…
toolStatus.create_promo	Luodaan kampanjakoodia…
toolStatus.create_service	Luodaan palvelua…
toolStatus.create_staff	Lisätään tiimin jäsentä…
toolStatus.default	Työskennellään…
toolStatus.delete_client	Poistetaan asiakasta…
toolStatus.delete_staff	Poistetaan tiimin jäsentä…
toolStatus.fill_schedule	Täytetään aikataulua…
toolStatus.find_clients	Haetaan asiakkaita…
toolStatus.forget_fact	Unohdetaan tietoa…
toolStatus.freeze_client	Jäädytetään asiakasta…
toolStatus.get_booking_settings	Tarkistetaan varausasetuksia…
toolStatus.get_catalog_settings	Tarkistetaan pakettiasetuksia…
toolStatus.get_client	Avataan asiakaskorttia…
toolStatus.get_client_events	Luetaan asiakashistoriaa…
toolStatus.get_inactive_clients	Etsitään passiivisia asiakkaita…
toolStatus.get_client_notes	Luetaan asiakasmuistiinpanoja…
toolStatus.get_client_subscription	Tarkistetaan asiakkaan pakettia…
toolStatus.get_delivery_log	Tarkistetaan toimituslokia…
toolStatus.get_finance_goals	Tarkistetaan taloustavoitteita…
toolStatus.get_finance_summary	Tarkistetaan taloutta…
toolStatus.get_lesson	Avataan tuntia…
toolStatus.get_loyalty_programs	Tarkistetaan kanta-asiakasohjelmia…
toolStatus.get_loyalty_summary	Tarkistetaan kanta-asiakkuutta…
toolStatus.get_notification_matrix	Tarkistetaan ilmoituksia…
toolStatus.get_payroll	Lasketaan palkkoja…
toolStatus.get_rooms	Tarkistetaan saleja…
toolStatus.get_schedule	Tarkistetaan aikataulua…
toolStatus.get_segments	Tarkistetaan asiakassegmenttejä…
toolStatus.get_services	Tarkistetaan palveluja…
toolStatus.get_staff	Tarkistetaan tiimiä…
toolStatus.get_staff_profile	Avataan tiimin jäsenen korttia…
toolStatus.get_stats	Käsitellään lukuja…
toolStatus.get_team_report	Mitataan paluuta ohjaajittain…
toolStatus.get_studio_facts	Palautetaan mieleen studiosta tiedettyä…
toolStatus.get_today_agenda	Tarkistetaan tämän päivän ohjelmaa…
toolStatus.issue_certificate	Myönnetään todistusta…
toolStatus.list_operations	Tarkistetaan tuloja ja menoja…
toolStatus.open_ui	Avataan näkymää…
toolStatus.remember_fact	Muistetaan…
toolStatus.remove_client_tag	Poistetaan tunnistetta…
toolStatus.sell_subscription	Myydään pakettia…
toolStatus.set_client_discount	Asetetaan alennusta…
toolStatus.set_staff_day	Merkitään päivä aikatauluun…
toolStatus.set_staff_schedule	Asetetaan aikataulua…
toolStatus.toggle_notification_event	Vaihdetaan ilmoitusta…
toolStatus.ui_section	Tarkistetaan, miten osio toimii…
toolStatus.update_booking_rules	Päivitetään varausasetuksia…
toolStatus.update_client	Päivitetään asiakastietoja…
toolStatus.update_lesson	Päivitetään tuntia…
toolStatus.update_service	Päivitetään palvelua…
toolStatus.update_staff	Päivitetään tiimin jäsentä…
quota.trialLow	Kokeilupyyntöjä on jäljellä vähän.
quota.label	AI-avustajan pyynnöt
quota.value	{{used}} / {{limit}}
quota.low	Olet lähellä kuukausirajaa.
quota.upgrade	Valitse paketti
quota.monthPeriod	Kalenterikuukautta kohden (UTC)
quota.trialPeriod	Koko kokeilujaksolle
rating.up	Hyvä vastaus
rating.down	Huono vastaus
memory.title	Avustaja muistaa
memory.forget	Unohda
memory.forgetConfirmTitle	Unohdetaanko tämä tieto?
memory.forgetConfirmMessage	Avustaja ei enää käytä sitä vastauksissa.
memory.deleted	Tieto poistettu
plan.pages.who	Kuka ja mitä
plan.pages.when	Milloin
plan.pages.check	Tarkista
plan.stepOf	Vaihe {{current}} / {{total}}
plan.next	Seuraava
plan.back	Takaisin
plan.confirm	Hyväksy
plan.confirmDanger	Hyväksy
plan.choose	Valitse
plan.nothingFound	Mitään ei löytynyt
plan.nothingToFill	Täällä ei ole mitään täytettävää — jatka suoraan.
plan.fromStep	luotu vaiheessa {{n}}
plan.values.group	ryhmä
plan.values.individual	yksilö
plan.values.trainer	ohjaaja
plan.values.admin	ylläpitäjä
plan.values.owner	omistaja
plan.values.hourly	tunnilta
plan.values.percent	% tuloista
plan.values.fixed	tunnilta
plan.title_one	Hyväksy — {{count}} toiminto
plan.title_other	Hyväksy — {{count}} toimintoa
plan.stillEmpty_one	{{count}} kenttä jäljellä
plan.stillEmpty_other	{{count}} kenttää jäljellä
