== sr
telegram.tokenLabel	Токен бота
chat.suggestions.revenue	Прикажи статистику прихода за овај месец
chat.suggestions.sms	Напиши SMS подсетник за термин
chat.suggestions.promo	Идеје за летњу промоцију
chat.suggestions.retention	Како могу да побољшам задржавање клијената?
chat.drawerSuggestions.revenueAnalysis	Анализа прихода
chat.drawerSuggestions.emailTemplate	Шаблон е-поште
chat.drawerSuggestions.promoIdeas	Идеје за промоцију
chat.drawerSuggestions.clientReport	Извештај о клијенту
drawer.historyBack	Ћаскања
drawer.historyLabel	Историја
agents.title	AI агенти
agents.info.title	Шта су AI агенти
agents.info.lead	Асистент који одговара клијентима у месинџерима студија док сте заузети.
agents.info.b1	Одговара цео дан — нико не чека администратора
agents.info.b2	Познаје распоред, услуге и цене вашег студија
agents.info.b3	Ви одређујете тон и дужину одговора
agents.info.note	Канал почиње да ради чим се повеже у подешавањима
agents.activeCount	{{active}} / {{total}}
agents.stateOn	Одговара
agents.stateOffline	Није повезан
agents.configureButton	Подеси агенте
agents.enable	Укључи
agents.disable	Искључи
agents.modalTitle	Подешавање AI агента
agents.modalSubtitle	Аутоматски одговори у месинџерима
agents.tabPrompt	Системска упутства
agents.statusDisabled	Искључено
agents.statHandled	Обрађено
agents.statRating	Оцена
agents.styleTitle	Стил одговора
agents.styleAllChannels	важи за све канале
agents.toneLabel	Тон одговора
agents.tone.friendly	Пријатељски
agents.tone.formal	Формалан
agents.tone.neutral	Неутралан
agents.maxLengthLabel	Највећа дужина одговора (знакови)
agents.maxLengthError	Унесите број од 50 до 4000
agents.offHoursLabel	Аутоматски одговор само ван радног времена
agents.promptHint	Овај текст одређује личност агента — како комуницира, шта зна и које теме избегава.
agents.promptPlaceholder	Ви сте љубазан асистент студија...
agents.promptCount_one	{{count}} / 2000 знак
agents.promptCount_few	{{count}} / 2000 знака
agents.promptCount_other	{{count}} / 2000 знакова
agents.tgChannelInactive	Telegram канал је искључен у Онлајн резервацијама — бот не прима поруке, па агент ћути.
errors.tg_token_required	Прво повежите Telegram бот — токен још није сачуван.
errors.ig_not_connected	Instagram још није повезан.
errors.wa_not_connected	WhatsApp број још није повезан — повежите га у Обавештењима.
errors.assistant_unavailable	Асистент је привремено недоступан — покушајте касније.
errors.trial_exhausted	Искористили сте свих 500 пробних захтева AI асистента. Изаберите плаћени план да наставите.
errors.quota_exceeded	Искористили сте све AI захтеве овог плана. Ограничење се обнавља почетком месеца — или надоградите план.
toasts.settingsSaved	Подешавања су сачувана
toolStatus.add_client_note	Додаје се белешка…
toolStatus.add_client_tag	Додаје се ознака…
toolStatus.add_loyalty_points	Додају се поени…
toolStatus.book_client	Резервише се час…
toolStatus.cancel_booking	Отказује се резервација…
toolStatus.pay_booking	Евидентира се уплата за час…
toolStatus.clear_schedule	Брише се распоред…
toolStatus.create_account	Креира се налог…
toolStatus.create_branch	Креира се филијала…
toolStatus.create_client	Креира се клијент…
toolStatus.create_counterparty	Креира се друга страна…
toolStatus.create_hall	Креира се сала…
toolStatus.create_lesson	Креира се час…
toolStatus.create_operation	Евидентира се трансакција…
toolStatus.create_package	Креира се пакет…
toolStatus.create_promo	Креира се промотивни код…
toolStatus.create_service	Креира се услуга…
toolStatus.create_staff	Додаје се члан тима…
toolStatus.default	Ради се…
toolStatus.delete_client	Брише се клијент…
toolStatus.delete_staff	Уклања се члан тима…
toolStatus.fill_schedule	Попуњава се распоред…
toolStatus.find_clients	Траже се клијенти…
toolStatus.forget_fact	Заборавља се чињеница…
toolStatus.freeze_client	Замрзава се клијент…
toolStatus.get_booking_settings	Проверавају се правила резервације…
toolStatus.get_catalog_settings	Проверавају се подешавања пакета…
toolStatus.get_client	Отвара се картица клијента…
toolStatus.get_client_events	Чита се историја клијента…
toolStatus.get_inactive_clients	Траже се неактивни клијенти…
toolStatus.get_client_notes	Читају се белешке о клијенту…
toolStatus.get_client_subscription	Проверава се пакет клијента…
toolStatus.get_delivery_log	Проверава се дневник испоруке…
toolStatus.get_finance_goals	Проверавају се финансијски циљеви…
toolStatus.get_finance_summary	Проверавају се финансије…
toolStatus.get_lesson	Отвара се час…
toolStatus.get_loyalty_programs	Проверавају се програми лојалности…
toolStatus.get_loyalty_summary	Проверава се лојалност…
toolStatus.get_notification_matrix	Проверавају се обавештења…
toolStatus.get_payroll	Обрачунавају се плате…
toolStatus.get_rooms	Проверавају се сале…
toolStatus.get_schedule	Проверава се распоред…
toolStatus.get_segments	Проверавају се сегменти клијената…
toolStatus.get_services	Проверавају се услуге…
toolStatus.get_staff	Проверава се тим…
toolStatus.get_staff_profile	Отвара се картица члана тима…
toolStatus.get_stats	Обрађују се бројеви…
toolStatus.get_team_report	Мери се повратак по тренеру…
toolStatus.get_studio_facts	Присећа се шта зна о студију…
toolStatus.get_today_agenda	Проверава се данас…
toolStatus.issue_certificate	Издаје се потврда…
toolStatus.list_operations	Проверавају се приходи и расходи…
toolStatus.open_ui	Отвара се екран…
toolStatus.remember_fact	Памти се…
toolStatus.remove_client_tag	Уклања се ознака…
toolStatus.sell_subscription	Продаје се пакет…
toolStatus.set_client_discount	Поставља се попуст…
toolStatus.set_staff_day	Означава се дан у распореду…
toolStatus.set_staff_schedule	Поставља се распоред…
toolStatus.toggle_notification_event	Пребацује се обавештење…
toolStatus.ui_section	Проверава се како одељак ради…
toolStatus.update_booking_rules	Ажурирају се правила резервације…
toolStatus.update_client	Ажурирају се подаци клијента…
toolStatus.update_lesson	Ажурира се час…
toolStatus.update_service	Ажурира се услуга…
toolStatus.update_staff	Ажурира се члан тима…
quota.trialLow	Остало је мало пробних захтева.
quota.label	Захтеви AI асистенту
quota.value	{{used}} од {{limit}}
quota.low	Близу сте месечног ограничења.
quota.upgrade	Изаберите план
quota.monthPeriod	По календарском месецу (UTC)
quota.trialPeriod	За цео пробни период
rating.up	Добар одговор
rating.down	Лош одговор
memory.title	Асистент памти
memory.forget	Заборави
memory.forgetConfirmTitle	Заборавити ову чињеницу?
memory.forgetConfirmMessage	Асистент ће престати да је користи у одговорима.
memory.deleted	Чињеница је уклоњена
plan.pages.who	Ко и шта
plan.pages.when	Када
plan.pages.check	Преглед
plan.stepOf	Корак {{current}} од {{total}}
plan.next	Даље
plan.back	Назад
plan.confirm	Одобри
plan.confirmDanger	Одобри
plan.choose	Изабери
plan.nothingFound	Ништа није пронађено
plan.nothingToFill	Овде нема ништа за попуњавање — наставите директно.
plan.fromStep	креирано у кораку {{n}}
plan.values.group	група
plan.values.individual	индивидуално
plan.values.trainer	тренер
plan.values.admin	администратор
plan.values.owner	власник
plan.values.hourly	по сату
plan.values.percent	% прихода
plan.values.fixed	по часу
plan.title_one	Одобри — {{count}} радња
plan.title_few	Одобри — {{count}} радње
plan.title_other	Одобри — {{count}} радњи
plan.stillEmpty_one	Остало је {{count}} поље
plan.stillEmpty_few	Остала су {{count}} поља
plan.stillEmpty_other	Остало је {{count}} поља
