== pl
loading	Ładowanie…
events.o3.title	Duża płatność
events.o3.desc	Obciążenie powyżej ustawionego progu
events.o4.title	Anomalia danych
events.o4.desc	Gwałtowny spadek rezerwacji lub przychodów
events.o5.title	Nowy członek zespołu
events.o5.desc	Administrator utworzył nowe konto
events.o6.title	Odnowienie planu
events.o6.desc	Przypomnienie o opłaceniu subskrypcji Velora
events.o7.title	Zmieniono uprawnienia dostępu
events.o7.desc	Zmieniono uprawnienia członka zespołu
events.o8.title	Osiągnięto KPI
events.o8.desc	Miesięczny cel osiągnięty
events.o9.title	Eksport danych
events.o9.desc	Ktoś wyeksportował bazę klientów
tg.title	Telegram
tg.subtitleConnected	Kanał połączony
tg.subtitleDisconnected	Połącz bota powiadomień
tg.connected	Połączono
tg.pasteToken	Wklej token bota otrzymany od @BotFather.
tg.invalidToken	Nieprawidłowy format tokenu
tg.howToGet	Jak uzyskać token:
tg.steps.1	Otwórz @BotFather w Telegramie
tg.steps.2	Wyślij polecenie /newbot i postępuj zgodnie z instrukcjami
tg.steps.3	Skopiuj wydany token
tg.steps.4	Wklej go w polu powyżej
tg.connect	Połącz
tg.disconnect	Rozłącz
tg.disconnectTitle	Rozłączyć Telegram?
tg.disconnectMessage	Klienci i personel przestaną otrzymywać powiadomienia przez ten kanał.
tg.close	Zamknij
tg.cancel	Anuluj
emailCh.title	E-mail
emailCh.subtitle	Adres nadawcy wiadomości do klientów
emailCh.verifiedLabel	Zweryfikowano
emailCh.emailLabel	E-mail nadawcy
emailCh.emailPlaceholder	admin@studio.com
emailCh.invalidEmail	Wpisz prawidłowy e-mail
emailCh.sendCode	Wyślij kod
emailCh.codeSentTo	Kod wysłano do
emailCh.codeHint	Wpisz 6-cyfrowy kod z e-maila.
emailCh.codeLabel	Kod weryfikacyjny
emailCh.resend	Wyślij kod ponownie
emailCh.viaVelora	E-maile są wysyłane przez serwer Velora w Twoim imieniu.
emailCh.wrongCode	Nieprawidłowy lub wygasły kod
emailCh.verify	Zweryfikuj
emailCh.back	Wróć
emailCh.cancel	Anuluj
wa.title	WhatsApp
wa.subtitleConnected	Kanał połączony
wa.subtitleDisconnected	Zaloguj się kontem firmowym Meta
wa.connected	Połączono
wa.paymentRequiredTitle	Potrzebna będzie karta
wa.paymentRequired	Połączenie numeru jest bezpłatne, ale Meta dostarcza przypomnienia klientom dopiero po dodaniu karty. Dodajesz ją osobno —
wa.paymentMissingTitle	Brak metody płatności
wa.paymentMissing	Obecnie działają tylko odpowiedzi bota na wiadomości przychodzące. Meta odrzuca przypomnienia, potwierdzenia i wysyłki masowe, dopóki karta nie zostanie dodana —
wa.paymentOkTitle	Płatność połączona
wa.paymentOk	powiadomienia są dostarczane w pełni.
wa.paymentUnknown	Nie udało się sprawdzić metody płatności w Meta — pokażemy stan przy następnej próbie.
wa.paymentLink	Centrum rozliczeń Meta
wa.paymentRecheck	Sprawdź ponownie
wa.paymentFound	Płatność połączona
wa.verify.title	Firma nie jest zweryfikowana w Meta
wa.verify.lead	Numer działa, ale z ograniczeniem do 250 unikalnych odbiorców dziennie. Weryfikacja znosi limit i odblokowuje pełne uruchomienie. Studio musi zrobić to samodzielnie — konto WhatsApp należy do Ciebie, a Velora nie może działać w Twoim imieniu.
wa.verify.stepsTitle	Jak zweryfikować firmę:
wa.verify.step1a	Otwórz
wa.verify.link	Centrum bezpieczeństwa Meta Business
wa.verify.step1b	i kliknij „Rozpocznij weryfikację”. Potrzebujesz uprawnień administratora konta firmowego.
wa.verify.step2	Wypełnij dane prawne: nazwę dokładnie jak w dokumentach, adres, telefon i witrynę. Witryna musi działać i używać HTTPS.
wa.verify.step3	Prześlij dokument rejestracyjny firmy i poczekaj, aż Meta go sprawdzi.
wa.verify.step4	Potwierdź związek z firmą: e-mail w domenie witryny, rozmowa lub SMS na podany telefon albo weryfikacja domeny.
wa.verify.step5	Poczekaj na decyzję — zwykle 1–5 dni roboczych. Status jest w tym samym centrum bezpieczeństwa; w razie odrzucenia Meta podaje powód i pozwala złożyć wniosek ponownie.
wa.verify.docsTitle	Akceptowane dokumenty (po jednym z każdej grupy):
wa.verify.doc1	Rejestracja: akt założycielski, odpis z rejestru, licencja firmy lub dokument podatkowy.
wa.verify.doc2	Dowód obecności: działająca strona, oficjalna strona w mediach społecznościowych lub wpis w katalogu firm.
wa.verify.pitfallTitle	Najczęstszy powód odrzucenia
wa.verify.pitfall	Nazwa firmy w Meta i w dokumencie musi być identyczna znak po znaku, wraz z formą prawną i interpunkcją. „Romashka LLC” i „Romashka, LLC” są uznawane za różne nazwy.
wa.templatesTitle	Szablony wiadomości
wa.templates	Meta nie pozwoli Ci napisać do klienta jako pierwszemu bez wcześniej zatwierdzonego szablonu. Utwórz szablony dla każdego zdarzenia — trafią do sprawdzenia i zaczną działać po zatwierdzeniu.
wa.templatesAction	Przygotuj szablony
wa.templatesPending	Tworzenie szablonów…
wa.templatesDone_one	Szablony gotowe: {{count}}. Oczekują na weryfikację Meta
wa.templatesDone_few	Szablony gotowe: {{count}}. Oczekują na weryfikację Meta
wa.templatesDone_many	Szablony gotowe: {{count}}. Oczekują na weryfikację Meta
wa.templatesPartial	Meta odrzuciła część szablonów: {{failed}}. Zobacz dziennik, aby poznać szczegóły
wa.templatesRejectedTitle_one	Meta odrzuciła {{count}} szablon
wa.templatesRejectedTitle_few	Meta odrzuciła {{count}} szablony
wa.templatesRejectedTitle_many	Meta odrzuciła {{count}} szablonów
wa.templatesRejected	— te powiadomienia nie są dostarczane. Sprawdź treść na koncie Meta i utwórz szablony ponownie.
wa.templatesPendingTitle_one	{{count}} szablon w trakcie weryfikacji
wa.templatesPendingTitle_few	{{count}} szablony w trakcie weryfikacji
wa.templatesPendingTitle_many	{{count}} szablonów w trakcie weryfikacji
wa.templatesPendingHint	— Meta może potrzebować do jednego dnia. {{approved}} są już zatwierdzone i dostarczane.
wa.templatesOkTitle	Szablony zatwierdzone
wa.templatesOk_one	{{count}} przeszedł weryfikację Meta — powiadomienia są dostarczane.
wa.templatesOk_few	Wszystkie {{count}} przeszły weryfikację Meta — powiadomienia są dostarczane.
wa.templatesOk_many	Wszystkie {{count}} przeszły weryfikację Meta — powiadomienia są dostarczane.
wa.paidWarning	Wiadomości WhatsApp są płatne
wa.approxPrice	ok.
wa.pricingLoading	Ładowanie bieżącej ceny…
wa.perMessage	za wiadomość
wa.viaMeta	rozliczane bezpośrednio przez Meta
wa.windowNotice	Dostarczenie jest gwarantowane tylko w 24-godzinnym oknie rozmowy.
wa.connect	Połącz WhatsApp
wa.disconnect	Rozłącz
wa.disconnectTitle	Rozłączyć WhatsApp?
wa.disconnectMessage	Klienci i personel przestaną otrzymywać powiadomienia przez ten kanał.
wa.close	Zamknij
wa.cancel	Anuluj
tabs.matrix	Ustawienia
tabs.log	Dziennik dostaw
log.title	Dziennik dostaw
log.subtitle	Co wysłano, do kogo i kiedy oraz jak zakończyła się każda wysyłka.
log.status.sent	Dostarczono
log.status.rejected	Odrzucono
log.status.error	Błąd połączenia
log.status.pending	W toku
log.searchPlaceholder	Telefon, e-mail lub kod zdarzenia
log.allChannels	Wszystkie kanały
log.reset	Resetuj
log.refreshing	Odświeżanie…
log.otherEvent	Wysyłka poza katalogiem
log.empty	Jeszcze nic nie wysłano
log.emptyHint	Tutaj pojawi się każde powiadomienie wysłane przez studio klientom i personelowi.
log.emptyFiltered	Nic nie znaleziono
log.emptyFilteredHint	Spróbuj zmienić filtry lub wyszukać inny numer.
log.loadError	Nie udało się załadować dziennika
log.loadErrorHint	Odśwież stronę — jeśli to nie pomoże, skontaktuj się z pomocą techniczną.
log.range	{{from}}–{{to}} z {{total}}
log.prev	Wróć
log.next	Dalej
