== da
legal.terms	Servicevilkår
offlineFee.alsoAccruing	Derudover optjenes denne måned: {{amount}} — kommer på næste faktura.
offlineFee.minimum	Minimumsgebyret pr. måned er {{amount}}. Tjener du mindre på en måned, betaler du forskellen; tjener du mere, kommer der ingen faktura.
offlineFee.pendingBill	Optjent under den tidligere model, afventer en faktura.
offlineFee.notBilledYet	Ingen faktura er udstedt endnu: det optjente beløb er under den mindste fakturastørrelse, eller den forberedes stadig. Intet går tabt — det kommer på næste faktura.
trial.title	Tilbud til nye studier
trial.subtitle	Dit studio er netop oprettet
trial.headline	{{days}} dage gratis
trial.noCard	Intet kort kræves — intet at betale nu
trial.perks.allModules	Fuld adgang til hvert modul: journal, kunder, økonomi, notifikationer og Velora AI
trial.perks.noCommitment	Ingen binding: hvis det ikke passer, skal du bare ikke forny
trial.perks.keepData	Alt, hvad du sætter op i prøveperioden, forbliver dit
trial.activate	Aktivér
trial.decline	Afslå
trial.cardHint	Du har ikke aktiveret dette studios gratis periode endnu. Den er tilgængelig, indtil du køber en plan.
profile.title	Faktureringsoplysninger
profile.editTitle	Rediger faktureringsoplysninger
profile.subtitle	Din adresse kommer på fakturaen og angiver skattesatsen. Den gemmes på din konto — vi spørger ikke igen i et andet studio.
profile.subtitlePay	Udfyld dette én gang, og betalingen går igennem med det samme næste gang. Din adresse kommer på fakturaen og angiver skattesatsen.
profile.cardTitle	Faktureringsoplysninger
profile.cardSubtitle	Gemmes på din konto og bruges i alle dine studier. Sådan vises de på fakturaen.
profile.cardEmpty	Endnu ikke udfyldt — vi spørger før din første betaling. Du kan tilføje dem nu.
profile.add	Tilføj faktureringsoplysninger
profile.edit	Rediger
profile.save	Gem
profile.saveAndPay	Gem og fortsæt til betaling
profile.cancel	Annuller
profile.saved	Faktureringsoplysninger gemt
profile.vatNone	Ikke angivet
profile.fields.country	Land eller region
profile.fields.countryPlaceholder	Vælg et land
profile.fields.address	Adresse
profile.fields.line1	Adresselinje 1
profile.fields.line1Placeholder	Gade og nummer
profile.fields.line2	Adresselinje 2 — valgfri
profile.fields.line2Placeholder	Lejlighed, suite, enhedsnummer osv.
profile.fields.postalCode	Postnummer
profile.fields.postalCodePlaceholder	110 00
profile.fields.city	By
profile.fields.cityPlaceholder	Prag
profile.fields.vat	Momsnummer — valgfrit
profile.fields.vatPlaceholder	{{prefix}}12345678
profile.fields.vatHint	Kun for virksomheder. Nummeret kontrolleres mod EU-registret (VIES), når du gemmer — vi accepterer ikke ubekræftede numre. Med et gyldigt nummer faktureres en virksomhed i et andet EU-land uden skat (omvendt betalingspligt). Privatpersoner har ikke et — lad feltet stå tomt.
profile.fields.countrySearch	Begynd at skrive et navn
profile.fields.countryNotFound	Intet land fundet
profile.fields.vatOutsideEu	Vi beder ikke om et momsnummer: uden for EU bestemmes skatten af betalerens land, ikke nummeret, så det gør ingen forskel på fakturaen.
profile.fields.vatPending	Dit nummer er gemt, men EU-registret var utilgængeligt på tidspunktet, så det er ikke bekræftet endnu, og din næste faktura vil indeholde fuld moms. Du behøver ikke indtaste det igen: vi bliver ved med at kontrollere, og når registret svarer, opkræves skatten ikke længere. For en allerede betalt faktura refunderer support skatten.
profile.errors.required	Dette felt er påkrævet
profile.preview.invoice	Faktura
profile.preview.billTo	Fakturer til
profile.preview.note	Sådan fremgår dine oplysninger på hver faktura. Du kan ændre dem når som helst i Planer og fakturering → Betalingsmetode.
