== hu
tabs.studios	Stúdiók
studios.hallCount_one	{{spacePlural, capitalize}} · {{count}}
studios.hallCount_other	{{spacePlural, capitalize}} · {{count}}
studios.stats.halls	{{spacePlural, capitalize}}
studios.stats.totalSeats	Összes hely
studios.stats.fromPerHour	Kezdőár / óra
studios.hall.seats	helyek
studios.hall.schedule	Nyitvatartás
studios.hall.closed	Zárva
studios.hall.stats.seats	Helyek
studios.hall.stats.area	Terület
studios.hall.stats.perHour	Óránként
studios.hall.equipment	Felszerelés
studios.hall.actions	Műveletek
studios.hall.edit	{{spaceAcc}} szerkesztése
studios.hall.delete	{{spaceAcc}} törlése
studios.empty.title	Nincs stúdió
studios.empty.subtitle	Adja hozzá első stúdióját
studios.toasts.created	Stúdió létrehozva
studios.toasts.createError	A stúdió létrehozása nem sikerült
studios.toasts.deleted	Stúdió törölve
studios.toasts.hallDeleted	Törölve: {{space}}
studios.toasts.saved	Mentve
studios.toasts.edit	Szerkesztés: {{name}}
studios.confirmDelete	Törli a(z) „{{name}}” telephelyet? Ez nem vonható vissza.
studios.confirmDeleteTitle	Törli a telephelyet?
studios.confirmDeleteHall	Törli {{spaceAcc}} „{{name}}”?
studios.confirmDeleteHallTitle	Törli {{spaceAcc}}?
services.title	SZOLGÁLTATÁSOK
services.addService	Szolgáltatás hozzáadása
services.types.group	Csoportos
services.types.individual	Egyéni
services.types.groupFull	 · Csoportos
services.types.individualFull	 · Egyéni
services.stats.price	Ár
services.stats.duration	Időtartam
services.stats.bookings	Foglalások
services.stats.revenue	Bevétel
services.details.description	Leírás
services.details.details	Részletek
services.details.minutes	perc
services.details.upTo	Legfeljebb {{count}} fő
services.details.personal	Személyes
services.details.bookingsPerMonth	foglalás 30 nap alatt
services.details.schedule	Órarend
services.empty.title	Nincs szolgáltatás
services.empty.subtitle	Adja hozzá első szolgáltatását
services.toasts.deleted	Szolgáltatás törölve
services.toasts.deleteError	A szolgáltatás törlése nem sikerült
services.toasts.saved	Mentve
services.toasts.saveError	A szolgáltatás mentése nem sikerült
services.toasts.edit	Szerkesztés: {{name}}
services.confirmDelete	Törli a(z) „{{name}}” szolgáltatást?
services.confirmDeleteTitle	Törli a szolgáltatást?
services.categories.yoga	Jóga
services.categories.pilates	Pilates
services.categories.stretching	Nyújtás
services.categories.individual	Egyéni
services.categories.other	Kategorizálatlan
subscriptions.title	BÉRLETEK
subscriptions.addPackage	Csomag hozzáadása
subscriptions.card.classCount_one	{{count}} óra
subscriptions.card.classCount_other	{{count}} óra
subscriptions.card.duration	{{count}} nap
subscriptions.card.allServices	Minden óra
subscriptions.card.serviceCount_one	{{count}} szolgáltatás
subscriptions.card.serviceCount_other	{{count}} szolgáltatás
subscriptions.card.inactiveBadge	Kivonva az értékesítésből
subscriptions.settings.title	Programbeállítások
subscriptions.settings.allowFreeze	Bérlet felfüggesztése
subscriptions.settings.allowTransfer	Átadás másik ügyfélnek
subscriptions.settings.autoRenewal	Automatikus megújítás az ügyfél egyenlegéből
subscriptions.empty.title	Még nincs csomag
subscriptions.empty.cta	Csomag létrehozása
subscriptions.toasts.created	Csomag létrehozva
subscriptions.toasts.saved	Mentve
subscriptions.toasts.saveError	A csomag mentése nem sikerült
subscriptions.toasts.deactivated	Csomag kivonva az értékesítésből
subscriptions.toasts.restored	Csomag újra értékesíthető
subscriptions.toasts.actionError	A művelet nem hajtható végre
subscriptions.deactivate	Kivonás az értékesítésből
subscriptions.restore	Vissza az értékesítésbe
subscriptions.confirmDeactivateTitle	Kivonja ezt a csomagot az értékesítésből?
subscriptions.confirmDeactivate	A már értékesített bérletek továbbra is működnek.
