== bg
tabs.studios	Студиа
modals.package.price	Цена, {{currency}}
modals.package.pricePlaceholder	8000
modals.package.perVisitPrice	Цена на посещение
modals.package.durationDays	Валиден за, дни
modals.package.durationDaysPlaceholder	60
modals.package.services	Услуги
modals.package.servicesHint	Няма избрано — пакетът важи за всички занятия
modals.package.isActive	За продажба
modals.package.soldAsSubscription	Покажи в раздел „Абонаменти“
modals.package.soldAsSingle	Покажи в раздел „Единични посещения“
modals.package.subtitle	Пакет занятия, който продавате на клиенти
modals.package.previewTitle	Преглед на карта
modals.package.previewKind	Карта
modals.package.previewValid	Валиден за
modals.package.sectionBasic	Основно
modals.package.sectionTerms	Условия
modals.package.sectionSale	Продажби
modals.package.priceShort	Цена на пакета
modals.package.statClasses	Занятия
modals.package.statDays	Дни
modals.package.statAll	Всички
modals.package.isActiveHint	Клиентите могат да виждат и купуват този пакет.
modals.package.soldAsSubscriptionHint	В противен случай пакетът остава само при единичните посещения.
studios.title	СТУДИА
studios.addStudio	Добави студио
studios.addHall	Добави {{spaceAcc}}
studios.editBranch	Редактиране на филиал
studios.deleteBranch	Изтриване на филиал
studios.infoTab	Обща информация
studios.hallsTitle	{{spacePlural, capitalize}} на студиото
studios.hallCount_one	{{spacePlural, capitalize}} · {{count}}
studios.hallCount_other	{{spacePlural, capitalize}} · {{count}}
studios.stats.halls	{{spacePlural, capitalize}}
studios.stats.totalSeats	Общо места
studios.stats.fromPerHour	От / час
studios.hall.seats	места
studios.hall.schedule	Работно време
studios.hall.closed	Затворено
studios.hall.stats.seats	Места
studios.hall.stats.area	Площ
studios.hall.stats.perHour	На час
studios.hall.equipment	Оборудване
studios.hall.actions	Действия
studios.hall.edit	Редактиране на {{spaceAcc}}
studios.hall.delete	Изтриване на {{spaceAcc}}
studios.empty.title	Няма студиа
studios.empty.subtitle	Добавете първото си студио
studios.toasts.created	Студиото е създадено
studios.toasts.createError	Студиото не можа да се създаде
studios.toasts.deleted	Студиото е изтрито
studios.toasts.hallDeleted	Изтрито: {{space}}
studios.toasts.saved	Запазено
studios.toasts.edit	Редактиране: {{name}}
studios.confirmDelete	Да се изтрие ли филиалът „{{name}}“? Това не може да се отмени.
studios.confirmDeleteTitle	Да се изтрие ли филиалът?
studios.confirmDeleteHall	Да се изтрие ли {{spaceAcc}} „{{name}}“?
studios.confirmDeleteHallTitle	Да се изтрие ли {{spaceAcc}}?
services.title	УСЛУГИ
services.addService	Добави услуга
services.types.group	Групова
services.types.individual	Индив.
services.types.groupFull	 · Групова
services.types.individualFull	 · Индивидуална
services.stats.price	Цена
services.stats.duration	Продължителност
services.stats.bookings	Записвания
services.stats.revenue	Приход
services.details.description	Описание
services.details.details	Подробности
services.details.minutes	минути
services.details.upTo	До {{count}} души
services.details.personal	Индивидуална
services.details.bookingsPerMonth	записвания за 30 дни
services.details.schedule	График на занятията
services.empty.title	Няма услуги
services.empty.subtitle	Добавете първата си услуга
services.toasts.deleted	Услугата е изтрита
services.toasts.deleteError	Услугата не можа да се изтрие
services.toasts.saved	Запазено
services.toasts.saveError	Услугата не можа да се запази
services.toasts.edit	Редактиране: {{name}}
services.confirmDelete	Да се изтрие ли услугата „{{name}}“?
services.confirmDeleteTitle	Да се изтрие ли услугата?
services.categories.yoga	Йога
services.categories.pilates	Пилатес
services.categories.stretching	Разтягане
services.categories.individual	Индивидуална
services.categories.other	Без категория
subscriptions.title	АБОНАМЕНТИ
subscriptions.addPackage	Добави пакет
subscriptions.card.classCount_one	{{count}} занятие
subscriptions.card.classCount_other	{{count}} занятия
subscriptions.card.duration	{{count}} дни
subscriptions.card.allServices	Всички занятия
subscriptions.card.serviceCount_one	{{count}} услуга
subscriptions.card.serviceCount_other	{{count}} услуги
subscriptions.card.inactiveBadge	Свален от продажба
subscriptions.settings.title	Настройки на програмата
subscriptions.settings.allowFreeze	Замразяване на абонамент
subscriptions.settings.allowTransfer	Прехвърляне към друг клиент
subscriptions.settings.autoRenewal	Автоматично подновяване от депозита на клиента
subscriptions.empty.title	Все още няма пакети
subscriptions.empty.cta	Създай пакет
subscriptions.toasts.created	Пакетът е създаден
subscriptions.toasts.saved	Запазено
subscriptions.toasts.saveError	Пакетът не можа да се запази
subscriptions.toasts.deactivated	Пакетът е свален от продажба
subscriptions.toasts.restored	Пакетът отново е в продажба
subscriptions.toasts.actionError	Действието не можа да се изпълни
subscriptions.deactivate	Свали от продажба
subscriptions.restore	Върни в продажба
subscriptions.confirmDeactivateTitle	Да се свали ли този пакет от продажба?
subscriptions.confirmDeactivate	Вече продадените абонаменти ще продължат да работят.
