== hr
tabs.overview	Pregled
descriptions.team.trainers	Usporedba prema opterećenju, prihodu i stopi povratka klijenata
descriptions.team.loadWeekday	Kojim je danima u tjednu trener zauzet, a kada je slobodan
descriptions.team.loadHour	U koje se vrijeme njegovi termini pune, a kada ostaju prazni
descriptions.team.schedule	Svi termini trenera u odabranom razdoblju
descriptions.schedule.heatmap	Gdje je raspored prebukiran, a gdje prazan
descriptions.schedule.topProfitable	Vremena u rasporedu koja donose najviše novca
descriptions.schedule.topFilled	Vremena koja klijenti najradije rezerviraju
descriptions.schedule.chronicLow	Termini koji tjednima popunjavaju manje od trećine mjesta
descriptions.schedule.halls	Koliko su često vaši {{spacePlural}} stvarno u upotrebi
descriptions.schedule.losses	Gdje studio gubi mjesta: otkazani termini ili nedolasci klijenata
formulas.salesCount.title	Prodaje
formulas.salesCount.text	Koliko su vam puta klijenti platili u ovom razdoblju. Jedna osoba koja plati više puta računa se kao više zasebnih prodaja.
formulas.revenue.title	Prihod
formulas.revenue.text	Sav novac koji je stigao u studio u ovom razdoblju prema datumu plaćanja. Paketi, pojedinačni termini, poklon-bonovi i maloprodaja — sve zajedno.
formulas.profit.title	Dobit
formulas.profit.text	Ono što ostaje nakon troškova ovog razdoblja: najamnine, plaća i potrošnog materijala. To je vaš stvarni prihod.
formulas.attendance.title	Posjećenost
formulas.attendance.text	Koliko su posjeta klijenti stvarno ostvarili. Broje se samo termini označeni kao posjećeni.
formulas.bookings.title	Rezervacije
formulas.bookings.text	Koliko su rezervacija klijenti napravili za termine. Otkazane rezervacije se ne broje.
formulas.noshow.title	Nedolazak
formulas.noshow.text	Klijent je rezervirao, termin se održao, ali se nije pojavio. Svaki je takav slučaj mjesto koje je netko drugi mogao zauzeti.
formulas.activeClients.title	Aktivni klijenti
formulas.activeClients.text	Koliko je različitih ljudi došlo barem jednom u ovom razdoblju. Svaki klijent broji se jednom, bez obzira na broj posjeta.
formulas.occupancy.title	Popunjenost
formulas.occupancy.text	Koliko su termini puni: zauzeta mjesta od onih koje ste planirali. 100 % znači da nema slobodnih mjesta.
formulas.avgCheck.title	Prosječni račun
formulas.avgCheck.text	Koliko u prosjeku donosi jedna uplata. Raste kada klijenti kupuju dulje pakete ili dodatke.
formulas.retention.title	Zadržavanje
formulas.retention.text	Koliko se klijenata iz prošlog razdoblja vratilo u ovom. Pokazuje zadržavate li ljude ili svaki mjesec počinjete ispočetka.
formulas.newClients.title	Novi klijenti
formulas.newClients.text	Ljudi koji su se prvi put pojavili u vašoj bazi klijenata tijekom ovog razdoblja.
formulas.returning.title	Povratnici
formulas.returning.text	Klijenti koji su već dolazili i vratili se ponovno u ovom razdoblju.
formulas.lost.title	Izgubljeni
formulas.lost.text	Posjetili su u prošlom razdoblju, a u ovom nisu došli nijednom. I dalje im se vrijedi javiti.
formulas.clientValue.title	Vrijednost klijenta
formulas.clientValue.text	Koliko jedan klijent u prosjeku donosi u ovom razdoblju.
formulas.repeatPurchaseShare.title	Udio ponovljenih kupnji
formulas.repeatPurchaseShare.text	Udio klijenata koji su kupili od vas više od jednom. Što je veći, to je jača navika vraćanja.
formulas.renewalRate.title	Stopa obnove
formulas.renewalRate.text	Koliko je klijenata kupilo novi paket nakon što im je prethodni istekao.
formulas.revenuePerHour.title	Prihod po satu (trener)
formulas.revenuePerHour.text	Koliko novca donosi jedan sat rada trenera. Omogućuje poštenu usporedbu trenera — netko možda vodi manje termina, ali svaki donosi više.
formulas.trainerReturnRate.title	Stopa povratka (trener)
formulas.trainerReturnRate.text	Udio klijenata trenera koji su ponovno rezervirali kod njega.
formulas.missedRevenue.title	Propušteni prihod
formulas.missedRevenue.text	Novac koji studio nije zaradio zbog praznih mjesta na prošlim terminima: slobodna mjesta pomnožena cijenom termina.
formulas.losses.title	Otkazi i nedolasci
formulas.losses.text	„Otkaz” je otkazani termin, a „nedolazak” je klijent koji je rezervirao, ali nije došao. Raščlambe po vremenu/usluzi/treneru koriste iste filtre kao kartica i usklađene su s KPI-jevima zaglavlja.
formulas.lessonRevenue.title	Prihod termina
formulas.lessonRevenue.text	Približna procjena prihoda termina: broj prisutnih pomnožen cijenom. Uplate nisu vezane uz pojedini termin, pa je ovo procjena, a ne točan iznos.
formulas.filtersScope.title	Opseg filtra
formulas.filtersScope.text	Filtri Podružnica i {{space}} primjenjuju se samo na metrike termina. Uplate nemaju takvu vezu, pa je novac prikazan za cijeli studio.
formulas.avgValue.title	Vrijednost klijenta
formulas.avgValue.text	Koliko jedan klijent u prosjeku donosi u ovom razdoblju.
formulas.cancelNoshow.title	Otkazi i nedolasci
formulas.cancelNoshow.text	Udio poremećenih termina: otkazi i nedolasci od svega planiranog.
formulas.avgRating.title	Prosječna ocjena
formulas.avgRating.text	Prosječna ocjena koju su klijenti dali terminima ovog trenera.
formulas.teamScope.title	Opseg podataka
formulas.teamScope.text	Ovdje se broji samo prihod vezan uz određenog trenera, stoga ukupan iznos svih trenera može biti manji od ukupnog prihoda studija.
formulas.lessonsCount.title	Termini
formulas.lessonsCount.text	Koliko su termina treneri održali u ovom razdoblju.
formulas.load.title	Opterećenje
formulas.load.text	Koliko je dan trenera popunjen: njegovi rezervirani sati od radnog vremena studija.
formulas.weeklyClients.title	Novi i povratnici
formulas.weeklyClients.text	Po tjednu: koliko je ljudi došlo prvi put, a koliko se vratilo. Zdrav studio raste u oba smjera.
formulas.byCategory.title	Prihod po kategoriji
formulas.byCategory.text	Na čemu stvarno zarađujete: paketima, pojedinačnim terminima, poklon-bonovima i maloprodajom.
formulas.byMethod.title	Načini plaćanja
formulas.byMethod.text	Kako klijenti plaćaju. Pomaže vidjeti trebate li obradu kartica i koliko novca zaobilazi blagajnu.
formulas.buyerType.title	Tko plaća
formulas.buyerType.text	Novi klijenti naspram stalnih. Ako gotovo sav prihod dolazi od novih klijenata, studio ih ne zadržava.
formulas.products.title	Što se prodaje
formulas.products.text	Svi paketi i usluge u razdoblju: koliko ih je prodano, za koliko i raste li prodaja.
formulas.topProfitable.title	Najisplativiji termini
formulas.topProfitable.text	Vremena u rasporedu koja donose najviše novca. Tamo postavite svoje najbolje trenere.
formulas.topFilled.title	Najpopunjeniji termini
formulas.topFilled.text	Vremena koja klijenti najradije rezerviraju. Ako su potpuno popunjena, vrijedi dodati još jedan termin.
formulas.chronicLow.title	Kronično prazni termini
formulas.chronicLow.text	Vremena koja nekoliko tjedana popunjavaju manje od trećine mjesta. Kandidati za premještanje ili ukidanje.
formulas.hallUtil.title	Iskorištenost: {{spacePlural}}
formulas.hallUtil.text	Koliko su često vaši {{spacePlural}} stvarno u upotrebi. Prazno vrijeme je najamnina koja se ne isplati.
formulas.heatmap.title	Opterećenje po danu i satu
formulas.heatmap.text	Boja prikazuje prosječnu stopu popunjenosti termina u razdoblju. Kliknite ćeliju da vidite termine tog dana i sata.
formulas.riskSegments.title	Rizični segmenti
formulas.riskSegments.text	Klijenti grupirani prema vrsti rizika koji nose — da ih izgubite ili prihodu koji ne donose. Svaka kartica ima vlastiti razlog i jasan sljedeći korak: javite im se, ponudite obnovu ili skuplji paket.
formulas.loyalSegments.title	Lojalni
formulas.loyalSegments.text	Klijenti koji vam već donose najviše vrijednosti: najčešće dolaze, najviše troše ili dovode prijatelje. Vrijedi ih njegovati i nagrađivati.
formulas.segment.at_risk.title	Na rubu
formulas.segment.at_risk.text	Nekad su redovito dolazili, a sada su nestali. Još ih je moguće vratiti jednom porukom.
formulas.segment.vip_idle.title	VIP bez aktivnosti
formulas.segment.vip_idle.text	Klijenti koji su potrošili više od ikoga, ali neko vrijeme nisu dolazili.
formulas.segment.expiring_subscription.title	Pretplata pri kraju
formulas.segment.expiring_subscription.text	Ovim klijentima ostaju 1–2 termina. Najbolji trenutak za ponuditi obnovu.
formulas.segment.lost_newcomers.title	Novopridošli koji se nisu vratili
formulas.segment.lost_newcomers.text	Došli su jednom i nestali. Obično je stvar u tom prvom terminu — vrijedi istražiti.
formulas.segment.upsell_candidates.title	Spremni za više
formulas.segment.upsell_candidates.text	Često dolaze, ali kupuju najjednostavniji paket. Vrijedi im ponuditi skuplju pretplatu.
formulas.segment.frequent.title	Redoviti
formulas.segment.frequent.text	Dolaze češće od ikoga drugoga. Okosnica su prihoda studija.
formulas.segment.high_ltv.title	Najvrjedniji
formulas.segment.high_ltv.text	Studiju su ukupno donijeli više novca od ikoga drugoga.
formulas.segment.referrers.title	Dovode prijatelje
formulas.segment.referrers.text	Klijenti čije su preporuke dovele druge ljude k vama.
