== bg
showcase.blocks.ai.points.0	Задавайте въпроси за студиото от горната лента, без да отваряте друг раздел
showcase.blocks.ai.points.1	AI агенти в Telegram и Instagram: тон на общуване и режим „само извън работно време“
showcase.blocks.ai.points.2	Статистика: колко разговора са обработени и как са оценени
ctaStrip.title	Опитайте без прехвърляне на данни и без авансово плащане
ctaStrip.button	Започнете безплатно
ctaStrip.note	30 дни безплатно • Без карта • Помощ при старта
modules.label	модули
modules.title	16 модула,\nвече включени
modules.lead	Не колекция от заглушки „очаквайте скоро“ — всичко изброено работи и е включено в плана. Ролите определят кой вижда всеки раздел.
modules.items.dashboard.title	Преглед
modules.items.dashboard.desc	Приходи, активни клиенти, резервации и клиентска лоялност — с тенденции
modules.items.journal.title	График
modules.items.journal.desc	Дневна мрежа по треньор и зала; плъзнете, за да пренасрочите
modules.items.clients.title	Клиенти
modules.items.clients.desc	Профил, абонаменти, точки, история, бележки, етикети
modules.items.staff.title	Екип
modules.items.staff.desc	Профили, показатели, работни часове, разпределение по зали
modules.items.catalog.title	Каталог
modules.items.catalog.desc	Обекти, зали с цвят и капацитет, услуги на студиото
modules.items.booking.title	Онлайн резервации
modules.items.booking.desc	Уиджет, Telegram, WhatsApp, Instagram и правила за резервации
modules.items.finance.title	Финанси
modules.items.finance.desc	Сметки, транзакции, контрагенти, документи, цели, заплати
modules.items.notify.title	Известия
modules.items.notify.desc	Telegram, имейл, WhatsApp и матрица събитие × канал
modules.items.loyalty.title	Лоялност
modules.items.loyalty.desc	Карти, отстъпки, подаръчни карти, абонаменти, препоръки
modules.items.ai.title	Velora AI
modules.items.ai.desc	Бизнес асистент и агенти за вашите клиенти
modules.items.reports.title	Отчети
modules.items.reports.desc	По продажби, треньори и услуги — с експорт
modules.items.miniapp.title	Клиентско приложение
modules.items.miniapp.desc	Личен кабинет на клиента: резервации, абонаменти, точки
modules.items.multistudio.title	Няколко студиа
modules.items.multistudio.desc	Няколко студиа в един акаунт, превключвайте по всяко време
modules.items.roles.title	Роли и достъп
modules.items.roles.desc	Собственик, администратор, треньор — в интерфейса и на сървъра
modules.items.settings.title	Настройки
modules.items.settings.desc	Работно време, тема, екип, сигурност, сесии
modules.items.data.title	Данни
modules.items.data.desc	CSV експорт, изтриване при поискване
modules.integrations	Интеграции
modules.integrationsNote	свързани в настройките на студиото
pricing.label	цени
pricing.title	Планът ви зависи от\nразмера на екипа
pricing.lead	15 € за двама души, +5 € за всяко следващо място, неограничено — 120 €. Всички 16 модула и Velora AI са включени на всяко ниво: плащате за размера на екипа, не за отключване на бутони. Три модела на плащане по избор и до 40% отстъпка при предплащане.
pricing.team	екип
pricing.seats_one	човек
pricing.seats_other	души
pricing.unlimited	неограничено
pricing.scaleMin	2 места
pricing.scaleMax	∞ неограничено
pricing.sliderAria	Колко души работят във вашето студио
pricing.hint	**15 €** за двама души, **+5 €** за всяко допълнително място. Неограничено — **120 €** на месец.
pricing.period	период на плащане
pricing.months	{{count}} мес.
pricing.noDiscount	—
pricing.yourPrice	вашата цена
pricing.perMonth	/ мес.
pricing.amount	{{value}} €
pricing.amountPerMonth	{{value}} € / мес.
pricing.rows.seats	Екип
pricing.rows.perSeat	На човек
pricing.rows.ai	Заявки към Velora AI
pricing.rows.aiPerMonth	{{value}} / мес.
pricing.rows.modules	Модули
pricing.rows.modulesAll	всичките 16
pricing.rows.total	За плащане за {{count}} месеца
pricing.rows.saved	Спестявате
pricing.cta	Опитайте 30 дни
pricing.note	Без карта · отказ с един клик
pricing.models.0.title	Абонамент
pricing.models.0.price	от 15 € / мес.
pricing.models.0.desc	Фиксирана сума. Знаете цената предварително — без изненади в края на месеца.
pricing.models.1.title	3% от приходите
pricing.models.1.price	минимум 15 € / мес.
pricing.models.1.desc	Плащате според оборота. В по-спокоен месец доплащате само разликата до минималната сума.
pricing.models.2.title	Комбиниран
pricing.models.2.price	½ фиксирано + 1,5%
pricing.models.2.desc	Половината от абонамента плюс малък процент — баланс между двата модела.
pricing.footnote	За пробния период не е нужна карта. Моделът на плащане и броят места могат да се променят в приложението по всяко време. Цените са без ДДС: данъкът се изчислява при плащане за вашата държава.
faq.label	въпроси
faq.title	Това обикновено питат хората
faq.items.0.q	Какво включва пробният период?
faq.items.0.a	Пълен достъп до всички модули за 30 дни. Не е нужна карта — ако не ви подхожда, просто не подновявате.
faq.items.1.q	Ще виждат ли клиентите ми реклами на други студиа?
faq.items.1.a	Не. Клиентите резервират през уиджета на сайта ви, вашия Telegram, WhatsApp или Instagram — и през клиентско приложение с вашия цвят и лого. Няма общ каталог с други студиа.
faq.items.2.q	Кой от екипа ми вижда какво?
faq.items.2.a	Три роли. Собственикът вижда всичко. Администраторът вижда графика, клиентите и прегледа. Треньорът вижда само собствените си часове и клиенти. Ограничението работи в интерфейса и на сървъра: няма път към чуждите данни.
faq.items.3.q	Мога ли да управлявам няколко студиа или обекта?
faq.items.3.a	Да, и това не зависи от плана. Един акаунт може да принадлежи към няколко студиа и да превключва между тях, а в студиото настройвате обекти и зали.
faq.items.4.q	Има ли тъмна тема и други езици?
faq.items.4.a	Да. Интерфейсът превключва между светла и тъмна тема и поддържа 22 езика, включително английски, руски, украински, чешки и немски. Часовата зона, валутата и езикът се избират при въвеждането.
faq.items.5.q	Какво става с данните ми, ако реша да напусна?
faq.items.5.a	Данните са ваши. В настройките има CSV експорт за клиенти, график, финанси и абонаменти, а изтриването се извършва по ваше искане.
faq.notFoundTitle	Не намерихте отговор?
faq.notFoundLead	Пишете ни — отговаряме лично, без ботове и без чакане.
faq.copied	Копирано
about.label	за нас
about.title	Velora се създава от хора,\nкоито сами са управлявали студиа
about.lead	Не създаваме „CRM за всички“. Създаваме инструмент за конкретна работа — график, клиенти, пари, комуникация — и отговаряме лично на въпросите вместо с шаблонни отговори.
about.p1	Клиентите на едно студио остават негови клиенти. Velora не изгражда общ каталог, не показва реклами на други на вашите клиенти и не взема процент, когато човек се върне при вас.
about.p2	В момента продуктът е за йога и пилатес студиа — за начина, по който наистина работят техните графици, абонаменти и треньори. Други сфери ще последват също толкова внимателно.
cta.eyebrow	Започнете днес
cta.titleTop	Готови ли сте за
cta.titleAccent	следващата стъпка?
cta.lead	30 дни безплатно. Без карта. Без обвързване. Опитайте — ще усетите разликата.
cta.register	Регистрирайте се безплатно
cta.whatsapp	Пишете ни в WhatsApp
footer.tagline	Премиум CRM за йога и пилатес студиа. Резервации, клиенти, пари и AI на едно място.
footer.columns.product.title	Продукт
footer.columns.product.features	Функции
footer.columns.product.modules	Модули
footer.columns.product.booking	Онлайн резервации
footer.columns.product.ai	Velora AI
footer.columns.product.pricing	Цени
footer.columns.company.title	Компания
footer.columns.company.difference	С какво сме различни
footer.columns.company.about	За нас
footer.columns.company.faq	Въпроси и отговори
footer.columns.company.support	Поддръжка
footer.columns.docs.title	Документи
footer.columns.docs.terms	Условия за ползване
footer.columns.docs.privacy	Политика за поверителност
footer.columns.docs.cookies	Политика за бисквитките
footer.columns.docs.dpa	Обработка на данни
footer.columns.docs.cookieSettings	Настройки на бисквитките
footer.columns.docs.support	Поддръжка
footer.copyright	© 2026 Velora. Всички права запазени.
screens.journal	Дневен график
screens.booking	Онлайн резервации
screens.finance	Плащане за посещение
screens.notify	Събитие × канал
screens.ai	Velora AI
art.journal	График
art.journalToday	Днес — 12 занятия
art.weekdays.0	П
art.weekdays.1	В
art.weekdays.2	С
art.weekdays.3	Ч
art.weekdays.4	П
art.weekdays.5	С
art.weekdays.6	Н
art.finance	Финанси
art.financeValue	1,8 хил. €
art.financeLabel	приходи този месец
art.clients	Клиенти
art.clientsLabel	клиенти, +12 тази седмица
art.questions_one	{{count}} въпрос
art.questions_other	{{count}} въпроса
art.open	отвори
