== ro
legal.terms	Termeni de serviciu
mode.termsBurn	ATENȚIE: Mai ai timp plătit rămas. Schimbarea modelului de facturare îl PIERDE COMPLET — zilele nefolosite nu se rambursează și nu se transferă.
mode.termsCombo	Schimbarea este o ACHIZIȚIE: imediat după confirmare vei vedea suma de plată. Restul perioadei plătite curente se pierde — nu se rambursează și nu se transferă. Modelul fix + % se activează NUMAI după plată; până atunci planul rămâne neschimbat și nu se percepe nimic.
combo.rateBadge	{{rate}}%
combo.summary	Fix {{fixed}}/lună + {{rate}}% din vânzări (numerarul se facturează lunar)
combo.cta	Activează planul combinat
combo.ctaShort	Activează combinația
period.1	1 lună
period.3	3 luni
period.6	6 luni
period.12	1 an
period.24	2 ani
period.title	Perioada de plată
period.discountActive	Reducerea de {{percent}}% este activă
period.noDiscount	Fără reducere
period.discountLabel	−{{percent}}% reducere
calculator.title	Parametrii calculului
calculator.monthlyTurnover	Cifra ta de afaceri online lunară
calculator.turnoverRangeMin	50 mii
calculator.turnoverRangeMax	3 mil.+
calculator.chooseFeeLabel	Alege rata de comision (afectează funcțiile)
calculator.feeOptions.basic	De bază
calculator.feeOptions.standard	Standard
calculator.feeOptions.pro	Pro
calculator.feeOptions.max	Maxim
calculator.chooseFixedLabel	Alege componenta fixă de bază (taxa de procesare este întotdeauna 3%)
calculator.fixedOptions.start	Start
calculator.fixedOptions.optima	Optima
calculator.fixedOptions.business	Business
calculator.economyPercentTitle	ECONOMIA PLANULUI
calculator.economyComboTitle	ECONOMIA PLANULUI COMBINAT
calculator.turnover	Cifra de afaceri a studioului
calculator.systemFee	Taxă de sistem
calculator.totalMonthlyPayment	PLATA LUNARĂ TOTALĂ
calculator.onlyPayForResult	Nu plătești taxă fixă, doar pentru rezultate
calculator.activatePercent	Activează modelul {{percent}}%
calculator.baseSubscription	Abonament de bază (fix)
calculator.acquiringFee	Procesare plăți / taxă
calculator.activateCombo	Activează planul combinat
planCards.bestChoice	Cea mai bună alegere
planCards.current	Curent
planCards.perMonth	/ lună
planCards.currentPlan	Plan curent
planCards.yourPrice	Prețul tău
planCards.staffLimit	Până la {{count}} membri ai echipei
planCards.staffUnlimited	Echipă nelimitată
paymentSchedule.title	Program de plată
paymentSchedule.total	Total de plată
paymentSchedule.morePayments	+ {{count}} plăți suplimentare de {{amount}}
paymentSchedule.processing	Redirecționare la plată…
paymentSchedule.payFor	Plătește pentru {{count}} luni
paymentSchedule.vatNote	Fără TVA — taxa se adaugă la plată în funcție de țara ta
trust.title	De ce au încredere în noi peste 2 400 de afaceri
trust.reviews.0.text	Am trecut de la Altegio. Diferența e ca între un taxi și un avion privat.
trust.reviews.0.author	Maria K., FORM Pilates
trust.reviews.1.text	Cel mai bine este că știu exact cât plătesc în fiecare lună. Fără surprize.
trust.reviews.1.author	Artem N., Barbershop Bros
trust.reviews.2.text	Asistența a răspuns în 4 minute. Nu am mai văzut asta nicăieri.
trust.reviews.2.author	Elena D., SPA LUNA
upgrade.priceLine	Preț {{price}}/lună
upgrade.discountNote	 {{percent}}% reducere la plata pentru {{period}} luni
upgrade.planLabel	Plan
upgrade.periodLabel	Perioadă
upgrade.periodValue_one	{{count}} lună
upgrade.periodValue_few	{{count}} luni
upgrade.periodValue_other	{{count}} de luni
upgrade.discountLabel	Reducere
upgrade.scheduledBadge	De la {{date}} — planul „{{plan}}”
upgrade.vatNote	Fără TVA — taxa se adaugă la plată pe baza datelor companiei; firmele UE cu număr TVA beneficiază de taxare inversă.
method.notLinked	Neconectat
method.badgeTitle	Metoda de plată este protejată
method.tokenSub	Token furnizor · expiră la {{expiry}}
method.tokenNote	Datele reale ale cardului sunt păstrate de furnizorul de plăți (PCI DSS L1). Păstrăm doar un token de unică folosință pentru reînnoiri.
method.securityTitle	Standarde de protecție a datelor
method.security.pciDss	Criptare PCI DSS nivelul 1
method.security.secure3d	Protecție tranzacții 3D Secure
method.security.noStorage	Datele cardului nu trec niciodată prin serverele noastre
method.security.autoLink	Cardul se conectează la prima plată
method.noCardDetail	Nu trebuie să introduci datele separat — plata se face pe pagina securizată Stripe.
method.renewDone	Factura a fost creată — plata este procesată
method.renewBusy	Se creează factura…
method.renewSuccess	Factura de reînnoire a fost creată
method.renewError	Nu s-a putut crea factura. Încearcă din nou.
method.renewNow	Reînnoiește acum cu cardul •••• {{last4}}
method.autopayTitle	Setări de plată automată
method.autopaySuccess	Setarea a fost salvată
method.autopayError	Nu s-a putut salva setarea. Încearcă din nou.
method.autopay.cardOnly	Disponibil la plata cu cardul
method.autopay.autoRenew.label	Reînnoire automată
method.autopay.autoRenew.desc	Dezactivează pentru a anula la finalul perioadei plătite
method.autopay.autoRenew.until	Abonamentul nu se va reînnoi — acces până la {{date}}
method.autopay.emailNotify.label	Notificări prin e-mail
method.autopay.emailNotify.desc	Factura este trimisă prin e-mail după fiecare plată
method.autopay.remind3d.label	Amintește cu 3 zile înainte
method.autopay.remind3d.desc	Îți vom aminti înainte de debitarea automată
method.autopay.sms.label	Notificare SMS
method.autopay.sms.desc	Se trimite un mesaj când are loc debitarea
method.portal.title	Date de facturare și TVA
method.portal.subtitle	Facturile, cardul conectat și istoricul debitărilor se află în portalul pentru clienți Stripe.
method.portal.cta	Deschide în Stripe
method.ibanBadgeLabel	Transfer bancar (SEPA)
method.ibanBadgeNote	Facturile vin prin e-mail cu un link de plată — nimic nu este debitat automat de pe card. Poți plăti mai devreme și din pagina facturii.
invoices.title	Istoric plăți
invoices.totalPaid	total plătit {{amount}}
invoices.exportCsv	Exportă CSV
invoices.exportError	Nu s-a putut exporta CSV-ul. Încearcă din nou.
invoices.receiptError	Nu s-a putut deschide factura. Încearcă din nou.
invoices.invoiceNo	Factura #{{id}}
invoices.methodCard	Plătită cu cardul
invoices.methodIban	Plătită prin transfer bancar (IBAN)
invoices.syncHint	Verifică starea la serviciul de plăți
invoices.syncChanged	Stare actualizată: {{status}}
invoices.syncUnchanged	Serviciul de plăți a confirmat aceeași stare
invoices.syncError	Nu s-a putut verifica starea. Încearcă din nou.
invoices.kindOfflineFee	Comision pentru vânzări offline
invoices.kindMinFee	Taxă minimă lunară
invoices.kindOnlineFee	Comision pentru plăți online
invoices.methodWithheld	Reținut de Stripe la plată
table.date	Dată
table.description	Descriere
table.amount	Sumă
table.status	Stare
table.receipt	Factură
status.paid	Plătită
status.pending	În așteptare
status.failed	Neplătită
status.refunded	Rambursată
empty.noInvoices	Nu există încă facturi — vor apărea după prima plată.
empty.noCard	Cardul tău va apărea automat după prima plată.
empty.monthsWithUs	Încă nu ai cumpărat un abonament
empty.noData	Fără date
savings.title	Economiile tale
savings.prepayTitle	Economiile tale la plata în avans
savings.emptyState	Alege o perioadă mai lungă și începe să economisești
savings.youSave	Economisești {{amount}} în {{months}} luni
savings.freeMonths	Este ca și cum ai avea {{count}} luni gratuite
savings.amountLabel	{{amount}} economisiți
savings.comparedToMonthly	comparativ cu plata lunară
savings.forMonths_one	Pentru {{count}} lună
savings.forMonths_few	Pentru {{count}} luni
savings.forMonths_other	Pentru {{count}} de luni
pay	Plătește
continuePlan	Continuă planul
payModal.titleNew	Începe planul {{plan}}
payModal.titleSwitch	Treci la {{plan}}
payModal.titleRenew	Reînnoiește {{plan}}
payModal.totalLabel	Planul tău va costa
payModal.burnWarning	Trecerea la alt plan reîncepe perioada: partea rămasă din planul {{plan}} SE PIERDE — nu se rambursează și nu se transferă. Reînnoirea aceluiași plan o păstrează.
payModal.switched	Planul a fost schimbat: nu ai nimic de plătit — schimbarea a fost acoperită de partea rămasă a perioadei curente.
payModal.renewNote	Aceasta reînnoiește același plan: lunile cumpărate se adaugă la perioada plătită curentă. Nimic nu se pierde.
payModal.cardNote	Plată cu cardul pe pagina securizată Stripe · rambursare în 7 zile
payModal.freeUntil	Nu se percepe nimic până la {{date}}: mai ai {{count}} zile din perioada plătită. Facturarea începe atunci.
payModal.taxLabel	TVA
payModal.taxLine	TVA {{rate}}%
payModal.reverseCharge	Taxare inversă
payModal.totalWithTax	Total cu TVA
payModal.taxServerNote	Taxa este calculată din datele tale de facturare. Factura va arăta aceeași sumă.
payModal.taxReview	Nu am putut determina taxa din datele tale de facturare, astfel totalul este afișat fără ea și plata nu poate fi finalizată. Verifică țara și adresa plătitorului sau contactează asistența.
offlineFee.title	Taxă pentru vânzări offline
offlineFee.accruing	Acumulată din numerar și depozite la {{rate}}%. Facturată lunar; ai {{days}} zile pentru plată.
offlineFee.due	Factura a fost emisă. Zile rămase pentru plată: {{days}}.
offlineFee.suspended	Plata este restantă — accesul la CRM și miniaplicație a fost suspendat.
offlineFee.pay	Plătește
offlineFee.suspendedMin	Taxa minimă lunară este restantă — accesul la CRM și miniaplicație a fost suspendat.
offlineFee.alsoAccruing	În plus, se acumulează luna aceasta: {{amount}} — va intra pe următoarea factură.
offlineFee.minimum	Taxa minimă lunară este {{amount}}. Dacă câștigi mai puțin în cursul lunii, plătești diferența; dacă mai mult, nu se emite factură.
offlineFee.pendingBill	Acumulată conform modelului anterior, în așteptarea facturii.
offlineFee.notBilledYet	Încă nu a fost emisă factură: suma acumulată este sub valoarea minimă de facturare sau factura este în curs de pregătire. Nimic nu se pierde — va intra pe următoarea factură.
trial.title	Ofertă pentru studiouri noi
trial.subtitle	Studioul tău tocmai a fost creat
trial.headline	{{days}} zile gratuite
trial.noCard	Nu este necesar cardul — nu ai nimic de plătit acum
trial.perks.allModules	Acces complet la fiecare modul: programări, clienți, finanțe, notificări și Velora AI
trial.perks.noCommitment	Fără obligații: dacă nu ți se potrivește, pur și simplu nu reînnoi
trial.perks.keepData	Tot ce introduci în perioada de probă rămâne al tău
trial.activate	Activează
trial.decline	Refuză
trial.cardHint	Nu ai activat încă perioada gratuită pentru acest studio. Ea rămâne disponibilă până cumperi un plan.
profile.title	Date de facturare
profile.editTitle	Editează datele de facturare
profile.subtitle	Adresa ta apare pe factură și stabilește rata taxei. Este salvată în cont — nu o vom cere din nou pentru alt studio.
profile.subtitlePay	Completează o dată, iar data viitoare plata merge direct. Adresa ta apare pe factură și stabilește rata taxei.
profile.cardTitle	Date de facturare
profile.cardSubtitle	Salvate în cont și folosite în toate studiourile. Așa apar pe factură.
profile.cardEmpty	Nu sunt completate încă — le vom cere înainte de prima plată. Le poți adăuga acum.
profile.add	Adaugă date de facturare
profile.edit	Editează
profile.save	Salvează
profile.saveAndPay	Salvează și continuă la plată
profile.cancel	Anulează
profile.saved	Datele de facturare au fost salvate
profile.vatNone	Nespecificat
profile.fields.country	Țară sau regiune
profile.fields.countryPlaceholder	Alege o țară
profile.fields.address	Adresă
profile.fields.line1	Linia de adresă 1
profile.fields.line1Placeholder	Stradă și număr
profile.fields.line2	Linia de adresă 2 — opțional
profile.fields.line2Placeholder	Apartament, suită, număr unitate etc.
profile.fields.postalCode	Cod poștal
profile.fields.postalCodePlaceholder	110 00
profile.fields.city	Oraș
profile.fields.cityPlaceholder	Praga
profile.fields.vat	Număr TVA — opțional
profile.fields.vatPlaceholder	{{prefix}}12345678
profile.fields.vatHint	Doar pentru companii. Numărul este verificat în registrul UE (VIES) la salvare — nu acceptăm numere neverificate. Cu un număr valid, o companie din altă țară UE este facturată fără taxă (taxare inversă). Persoanele fizice nu îl au — lasă câmpul gol.
profile.fields.countrySearch	Începe să scrii un nume
profile.fields.countryNotFound	Țara nu a fost găsită
profile.fields.vatOutsideEu	Nu cerem un număr TVA: în afara UE, taxa este stabilită de țara plătitorului, nu de număr, deci nu afectează factura.
profile.fields.vatPending	Numărul tău a fost salvat, însă registrul UE nu era disponibil atunci, deci nu este încă confirmat și următoarea factură va include TVA integral. Nu trebuie să îl introduci din nou: vom continua să îl verificăm și, de îndată ce registrul răspunde, taxa nu va mai fi percepută. Pentru o factură deja plătită, asistența va rambursa taxa.
profile.errors.required	Acest câmp este obligatoriu
profile.preview.invoice	Factură
profile.preview.billTo	Facturat către
profile.preview.note	Așa apar datele tale pe fiecare factură. Le poți modifica oricând în Plan și facturare → Metodă de plată.
