== ro
tabs.studios	Studiouri
modals.hall.sectionSpace	Spațiu
modals.hall.sectionLook	Aspect
modals.hall.areaShort	Suprafață
modals.hall.hourlyRateShort	Preț pe oră
modals.hall.statArea	Suprafață
modals.hall.statRate	Preț / oră
modals.hall.isOnlineHint	Cursurile se desfășoară online — fără spații fizice.
modals.hall.colorHint	Cursurile de aici sunt evidențiate cu această culoare în program.
modals.service.titleNew	Serviciu nou
modals.service.titleEdit	Editează serviciul
modals.service.name	Numele serviciului
modals.service.namePlaceholder	Hatha yoga
modals.service.category	Categorie
modals.service.type	Tip
modals.service.typeGroup	Grup
modals.service.typeIndividual	Individual
modals.service.price	Preț, {{currency}}
modals.service.pricePlaceholder	1200
modals.service.duration	Durată, min
modals.service.durationPlaceholder	60
modals.service.maxClients	Număr maxim de clienți
modals.service.maxClientsPlaceholder	15
modals.service.description	Descriere
modals.service.descriptionPlaceholder	Scurtă descriere a serviciului
modals.service.color	Culoare
modals.service.subtitle	Apare în program și în rezervarea online
modals.service.previewTitle	Previzualizare program
modals.service.sectionBasic	De bază
modals.service.sectionPricing	Preț și timp
modals.service.sectionLook	Aspect
modals.service.priceShort	Preț
modals.service.durationShort	Durată
modals.service.statSeats	Locuri
modals.service.colorHint	Cursurile sunt evidențiate cu această culoare în grila programului.
modals.service.bookingMode	Mecanism de rezervare
modals.service.bookingModeEvent	Înscriere
modals.service.bookingModeResource	Alege o oră
modals.service.bookingModeEventHint	Clienții se înscriu la un curs pe care l-ați programat deja.
modals.service.bookingModeResourceHint	Clientul alege un specialist și o oră liberă; intervalul {{offering}} este creat la confirmare.
modals.service.bookable	Disponibil pentru rezervare
modals.service.bookableOn	Da
modals.service.bookableOff	Nu
modals.service.bufferBefore	Interval înainte
modals.service.bufferAfter	Interval după
modals.package.titleNew	Pachet nou
modals.package.titleEdit	Editează pachetul
modals.package.name	Numele pachetului
modals.package.namePlaceholder	8 cursuri
modals.package.classCount	Număr de cursuri
modals.package.classCountPlaceholder	8
modals.package.price	Preț, {{currency}}
modals.package.pricePlaceholder	8000
modals.package.perVisitPrice	Preț pe vizită
modals.package.durationDays	Valabil, zile
modals.package.durationDaysPlaceholder	60
modals.package.services	Servicii
modals.package.servicesHint	Nimic selectat — pachetul se aplică tuturor cursurilor
modals.package.isActive	La vânzare
modals.package.soldAsSubscription	Afișează în fila „Abonamente”
modals.package.soldAsSingle	Afișează în fila „Vizite individuale”
modals.package.subtitle	Un pachet de cursuri pe care îl vindeți clienților
modals.package.previewTitle	Previzualizare abonament
modals.package.previewKind	Abonament
modals.package.previewValid	Valabil
modals.package.sectionBasic	De bază
modals.package.sectionTerms	Condiții
modals.package.sectionSale	Vânzări
modals.package.priceShort	Prețul pachetului
modals.package.statClasses	Cursuri
modals.package.statDays	Zile
modals.package.statAll	Toate
modals.package.isActiveHint	Clienții pot vedea și cumpăra acest pachet.
modals.package.soldAsSubscriptionHint	În caz contrar, pachetul rămâne doar la vizite individuale.
studios.title	STUDIOURI
studios.addStudio	Adaugă studio
studios.addHall	Adaugă {{spaceAcc}}
studios.editBranch	Editează sucursala
studios.deleteBranch	Elimină sucursala
studios.infoTab	Informații generale
studios.hallsTitle	{{spacePlural, capitalize}} ale studioului
studios.hallCount_one	{{spacePlural, capitalize}} · {{count}}
studios.hallCount_few	{{spacePlural, capitalize}} · {{count}}
studios.hallCount_other	{{spacePlural, capitalize}} · {{count}}
studios.stats.halls	{{spacePlural, capitalize}}
studios.stats.totalSeats	Locuri totale
studios.stats.fromPerHour	De la / oră
studios.hall.seats	locuri
studios.hall.schedule	Program de lucru
studios.hall.closed	Închis
studios.hall.stats.seats	Locuri
studios.hall.stats.area	Suprafață
studios.hall.stats.perHour	Pe oră
studios.hall.equipment	Echipament
studios.hall.actions	Acțiuni
studios.hall.edit	Editează {{spaceAcc}}
studios.hall.delete	Elimină {{spaceAcc}}
studios.empty.title	Niciun studio
studios.empty.subtitle	Adăugați primul dvs. studio
studios.toasts.created	Studio creat
studios.toasts.createError	Studioul nu a putut fi creat
studios.toasts.deleted	Studio eliminat
studios.toasts.hallDeleted	Eliminat: {{space}}
studios.toasts.saved	Salvat
studios.toasts.edit	Editează: {{name}}
studios.confirmDelete	Eliminați sucursala „{{name}}”? Această acțiune nu poate fi anulată.
studios.confirmDeleteTitle	Eliminați sucursala?
studios.confirmDeleteHall	Eliminați {{spaceAcc}} „{{name}}”?
studios.confirmDeleteHallTitle	Eliminați {{spaceAcc}}?
services.title	SERVICII
services.addService	Adaugă serviciu
services.types.group	Grup
services.types.individual	Indiv.
services.types.groupFull	 · Grup
services.types.individualFull	 · Individual
services.stats.price	Preț
services.stats.duration	Durată
services.stats.bookings	Rezervări
services.stats.revenue	Venituri
services.details.description	Descriere
services.details.details	Detalii
services.details.minutes	minute
services.details.upTo	Până la {{count}} pers.
services.details.personal	Personal
services.details.bookingsPerMonth	rezervări în 30 de zile
services.details.schedule	Programul cursurilor
services.empty.title	Niciun serviciu
services.empty.subtitle	Adăugați primul dvs. serviciu
services.toasts.deleted	Serviciu eliminat
services.toasts.deleteError	Serviciul nu a putut fi eliminat
services.toasts.saved	Salvat
services.toasts.saveError	Serviciul nu a putut fi salvat
services.toasts.edit	Editează: {{name}}
services.confirmDelete	Eliminați serviciul „{{name}}”?
services.confirmDeleteTitle	Eliminați serviciul?
services.categories.yoga	Yoga
services.categories.pilates	Pilates
services.categories.stretching	Stretching
services.categories.individual	Individual
services.categories.other	Necategorizat
subscriptions.title	ABONAMENTE
subscriptions.addPackage	Adaugă pachet
subscriptions.card.classCount_one	{{count}} curs
subscriptions.card.classCount_few	{{count}} cursuri
subscriptions.card.classCount_other	{{count}} de cursuri
subscriptions.card.duration	{{count}} zile
subscriptions.card.allServices	Toate cursurile
subscriptions.card.serviceCount_one	{{count}} serviciu
subscriptions.card.serviceCount_few	{{count}} servicii
subscriptions.card.serviceCount_other	{{count}} de servicii
subscriptions.card.inactiveBadge	Scos de la vânzare
subscriptions.settings.title	Setări program
subscriptions.settings.allowFreeze	Înghețare abonament
subscriptions.settings.allowTransfer	Transfer la alt client
subscriptions.settings.autoRenewal	Reînnoire automată din depozitul clientului
subscriptions.empty.title	Încă nu există pachete
subscriptions.empty.cta	Creează pachet
subscriptions.toasts.created	Pachet creat
subscriptions.toasts.saved	Salvat
subscriptions.toasts.saveError	Pachetul nu a putut fi salvat
subscriptions.toasts.deactivated	Pachet scos de la vânzare
subscriptions.toasts.restored	Pachet repus la vânzare
subscriptions.toasts.actionError	Acțiunea nu a putut fi efectuată
subscriptions.deactivate	Scoate de la vânzare
subscriptions.restore	Pune din nou la vânzare
subscriptions.confirmDeactivateTitle	Scoateți acest pachet de la vânzare?
subscriptions.confirmDeactivate	Abonamentele deja vândute vor continua să funcționeze.
