== it
tabs.accounts	Conti
documents.titleLabel	Titolo del documento
documents.titlePlaceholder	Es. verbale di accettazione n. 48
documents.partyLabel	Controparte (se presente)
documents.partyPlaceholder	Nome dell'azienda o dell'imprenditore individuale
documents.needsSignature	Il documento richiede una firma?
documents.needsSignatureHint	Lo stato sarà “In attesa di firma”
documents.saveToBase	Salva nella libreria
documents.emptyTitle	Questa cartella è vuota
documents.emptyBody	Carica un nuovo documento o modifica i filtri
documents.internalDoc	Documento interno
documents.uploaded	Caricato {{date}}
documents.download	Scarica
documents.open	Apri
documents.fileRequired	Allega un file
documents.options	Opzioni
documents.status.title	Stato
documents.status.signed	Firmato
documents.status.pending	In attesa di firma
documents.status.draft	Non firmato
documents.delete	Elimina
documents.toasts.loadFailed	Impossibile caricare i documenti
documents.toasts.titleRequired	Carica un file o inserisci un titolo
documents.toasts.created	Documento caricato nella libreria
documents.toasts.createFailed	Impossibile salvare il documento
documents.toasts.badFormat	Formati consentiti: PDF, DOCX, XLSX
documents.toasts.downloadFailed	Impossibile scaricare il file
documents.toasts.noFile	Nessun file è allegato a questo documento
documents.toasts.openFailed	Impossibile aprire il file
documents.toasts.statusChanged	Stato: {{label}}
documents.toasts.statusFailed	Impossibile modificare lo stato
documents.toasts.deleted	Documento eliminato
documents.toasts.deleteFailed	Impossibile eliminare il documento
goals.loading	Caricamento obiettivi…
goals.active	Obiettivi in corso
goals.done	Completati
goals.avgProgress	Avanzamento complessivo
goals.trackingTitle	Monitoraggio del piano
goals.createGoal	Crea obiettivo
goals.newTitle	Nuovo obiettivo finanziario
goals.titleLabel	Titolo dell'obiettivo
goals.titlePlaceholder	Es. nuove macchine reformer
goals.targetLabel	Importo obiettivo, {{symbol}}
goals.targetPlaceholder	500000
goals.deadlineLabel	Scadenza
goals.trackingLabel	Come monitorare l'avanzamento?
goals.trackingAuto	Automatico (metrica CRM)
goals.trackingAutoDesc	Collega l'obiettivo alle entrate di una categoria scelta. Il CRM sposterà da solo la barra di avanzamento.
goals.trackingManual	Manuale (risparmi personali)
goals.trackingManualDesc	Sulla scheda apparirà un pulsante “Aggiungi fondi”. L'avanzamento dipende solo da te.
goals.opTypeLabel	Tipo di operazione
goals.categoryLabel	Categoria
goals.categoryPlaceholder	Scegli una categoria
goals.editTitle	Modifica obiettivo
goals.nameLabel	Titolo
goals.namePlaceholder	Titolo dell'obiettivo
goals.amountLabel	Importo, {{symbol}}
goals.achieved	Obiettivo raggiunto
goals.priority.high	Priorità alta
goals.priority.medium	Priorità media
goals.priority.low	Priorità bassa
goals.autoCollect	Monitoraggio automatico
goals.deadlinePrefix	Scadenza:
goals.noDeadline	Nessuna scadenza
goals.fundPlaceholder	Importo, {{symbol}}
goals.fund	Aggiungi
goals.addFunds	Aggiungi fondi
goals.autoHint	Il valore si aggiorna automaticamente dalle entrate della categoria
goals.deleteConfirmTitle	Eliminare l'obiettivo?
goals.deleteConfirmText	L'avanzamento di questo obiettivo andrà perso. L'azione non può essere annullata.
goals.toasts.loadFailed	Impossibile caricare gli obiettivi
goals.toasts.fillRequired	Compila il titolo e l'importo
goals.toasts.chooseCategory	Scegli una categoria per l'obiettivo automatico
goals.toasts.created	Obiettivo creato
goals.toasts.createFailed	Impossibile creare l'obiettivo
goals.toasts.enterName	Inserisci un nome
goals.toasts.updated	Obiettivo aggiornato
goals.toasts.updateFailed	Impossibile aggiornare l'obiettivo
goals.toasts.deleted	Obiettivo eliminato
goals.toasts.deleteFailed	Impossibile eliminare l'obiettivo
goals.toasts.funded	Fondi aggiunti
goals.toasts.fundFailed	Impossibile aggiungere fondi
onlinePayments.description	Collega Stripe e i tuoi clienti potranno pagare con carta alla cassa. Il denaro arriva direttamente sul conto del tuo studio — Velora non lo trattiene mai. La commissione segue il tuo piano.
onlinePayments.gatewaysTitle	Fornitori di pagamento
onlinePayments.gateways.stripe.name	Stripe
onlinePayments.gateways.states.none.label	Non connesso
onlinePayments.gateways.states.none.hint	Accetta pagamenti con carta sul conto dello studio
onlinePayments.gateways.states.none.action	Collega
onlinePayments.gateways.states.incomplete.label	Dati mancanti
onlinePayments.gateways.states.incomplete.hint	Stripe attende i dati del tuo studio — i pagamenti restano disattivati fino ad allora
onlinePayments.gateways.states.incomplete.action	Continua
onlinePayments.gateways.states.action.label	Azione necessaria
onlinePayments.gateways.states.action.hint	Stripe ha rifiutato alcuni dati e attende correzioni — non si risolverà da solo
onlinePayments.gateways.states.action.action	Correggi dati
onlinePayments.gateways.states.review.label	In revisione
onlinePayments.gateways.states.review.hint	I dati sono stati inviati e Stripe li sta esaminando. Di solito ci vuole fino a un giorno
onlinePayments.gateways.states.review.action	Apri Stripe
onlinePayments.gateways.states.active.label	Connesso
onlinePayments.gateways.states.active.hint	I pagamenti con carta arrivano sul conto Stripe dello studio
onlinePayments.gateways.states.active.action	Impostazioni
onlinePayments.toasts.gatewayUpdated	Impostazioni del fornitore aggiornate
onlinePayments.toasts.stripeReturned	Dati inviati a Stripe
onlinePayments.toasts.stripeLinkExpired	Il link Stripe è scaduto — premi di nuovo Collega
paymentMethods.totalTurnover	Fatturato del periodo
paymentMethods.periods.month	Mese
paymentMethods.periods.quarter	Trimestre
paymentMethods.periods.year	Anno
paymentMethods.amount	Importo
paymentMethods.share	Quota
paymentMethods.transactions	transazioni
paymentMethods.methods.cash.name	Contanti
paymentMethods.methods.card.name	Carta bancaria
paymentMethods.methods.qr.name	SBP (QR)
paymentMethods.methods.transfer.name	Bonifico
paymentMethods.methods.stripe.name	Stripe
paymentMethods.methods..name	Non specificato
reports.metrics.revenue	Entrate
reports.metrics.expenses	Uscite
reports.metrics.profit	Profitto
reports.metrics.margin	Margine
reports.vsPreviousPeriod	rispetto al periodo precedente
reports.cashflowTitle	Flusso di cassa
reports.cashflowSub	Analisi di entrate e uscite
reports.period	Periodo
reports.income	Entrata
reports.expense	Uscita
reports.profit	Profitto
reports.periods.today	Oggi
reports.periods.week	Settimana
reports.periods.month	Mese
reports.periods.year	Anno
reports.legendIncome	Entrate
reports.legendExpense	Uscite
reports.exportCsv	Esporta CSV
reports.expenseStructure	Struttura delle uscite
reports.incomeStructure	Struttura delle entrate
reports.total	Totale
reports.otherCategory	Senza categoria
reports.noData	Nessun dato per questo periodo
reports.insightsTitle	Riepilogo e analisi finanziarie
reports.insightsPlaceholder	Qui apparirà un riepilogo finanziario con IA: analisi delle tendenze, struttura delle uscite e raccomandazioni
reports.toasts.exportFailed	Impossibile esportare le operazioni
confirmModal.cancel	Annulla
confirmModal.confirm	Conferma
confirmModal.delete	Elimina
