== bg
loading	Зареждане…
wa.templatesPendingHint	— Meta може да отнеме до ден. {{approved}} вече са одобрени и се доставят.
wa.templatesOkTitle	Шаблоните са одобрени
wa.templatesOk_one	{{count}} шаблон премина прегледа на Meta — известията се доставят.
wa.templatesOk_other	Всички {{count}} преминаха прегледа на Meta — известията се доставят.
wa.paidWarning	Съобщенията в WhatsApp са платени
wa.approxPrice	прибл.
wa.pricingLoading	Зареждане на текущата цена…
wa.perMessage	на съобщение
wa.viaMeta	таксувано директно от Meta
wa.windowNotice	Доставката е гарантирана само в рамките на 24-часовия прозорец за разговор.
wa.connect	Свържи WhatsApp
wa.disconnect	Прекъсни връзката
wa.disconnectTitle	Да се прекъсне ли WhatsApp?
wa.disconnectMessage	Клиентите и служителите ще спрат да получават известия по този канал.
wa.close	Затвори
wa.cancel	Отмени
tabs.matrix	Настройки
tabs.log	Дневник на доставките
log.title	Дневник на доставките
log.subtitle	Какво е изпратено, до кого и кога, и как е приключило всяко изпращане.
log.status.sent	Доставено
log.status.rejected	Отхвърлено
log.status.error	Грешка във връзката
log.status.pending	В процес
log.searchPlaceholder	Телефон, имейл или код на събитие
log.allChannels	Всички канали
log.reset	Нулирай
log.refreshing	Обновяване…
log.otherEvent	Изпращане извън каталога
log.empty	Още нищо не е изпращано
log.emptyHint	Всяко известие, което студиото изпраща до клиенти и служители, ще се показва тук.
log.emptyFiltered	Няма намерени резултати
log.emptyFilteredHint	Опитайте да промените филтрите или да потърсите друг номер.
log.loadError	Дневникът не може да се зареди
log.loadErrorHint	Обновете страницата — ако това не помогне, свържете се с поддръжката.
log.range	{{from}}–{{to}} от {{total}}
log.prev	Назад
log.next	Напред
