== da
tabs.studios	Studier
modals.service.pricePlaceholder	1200
modals.service.duration	Varighed, min.
modals.service.durationPlaceholder	60
modals.service.maxClients	Maks. antal klienter
modals.service.maxClientsPlaceholder	15
modals.service.description	Beskrivelse
modals.service.descriptionPlaceholder	Kort beskrivelse af ydelsen
modals.service.color	Farve
modals.service.subtitle	Vises i kalenderen og onlinebooking
modals.service.previewTitle	Kalenderforhåndsvisning
modals.service.sectionBasic	Grundlæggende
modals.service.sectionPricing	Pris og tid
modals.service.sectionLook	Udseende
modals.service.priceShort	Pris
modals.service.durationShort	Varighed
modals.service.statSeats	Pladser
modals.service.colorHint	Hold fremhæves med denne farve i kalendergitteret.
modals.service.bookingMode	Bookingmetode
modals.service.bookingModeEvent	Tilmelding
modals.service.bookingModeResource	Vælg tidspunkt
modals.service.bookingModeEventHint	Klienter tilmelder sig et hold, du allerede har planlagt.
modals.service.bookingModeResourceHint	Klienten vælger en specialist og et ledigt tidspunkt; intervallet {{offering}} oprettes ved bekræftelse.
modals.service.bookable	Kan bookes
modals.service.bookableOn	Ja
modals.service.bookableOff	Nej
modals.service.bufferBefore	Buffer før
modals.service.bufferAfter	Buffer efter
modals.package.titleNew	Ny pakke
modals.package.titleEdit	Rediger pakke
modals.package.name	Pakkenavn
modals.package.namePlaceholder	8 hold
modals.package.classCount	Antal hold
modals.package.classCountPlaceholder	8
modals.package.price	Pris, {{currency}}
modals.package.pricePlaceholder	8000
modals.package.perVisitPrice	Pris pr. besøg
modals.package.durationDays	Gyldig i, dage
modals.package.durationDaysPlaceholder	60
modals.package.services	Ydelser
modals.package.servicesHint	Intet valgt — pakken gælder for alle hold
modals.package.isActive	Til salg
modals.package.soldAsSubscription	Vis på fanen „Medlemskaber”
modals.package.soldAsSingle	Vis på fanen „Enkeltbesøg”
modals.package.subtitle	En pakke hold, som du sælger til klienter
modals.package.previewTitle	Forhåndsvisning af kort
modals.package.previewKind	Kort
modals.package.previewValid	Gyldig i
modals.package.sectionBasic	Grundlæggende
modals.package.sectionTerms	Vilkår
modals.package.sectionSale	Salg
modals.package.priceShort	Pakkepris
modals.package.statClasses	Hold
modals.package.statDays	Dage
modals.package.statAll	Alle
modals.package.isActiveHint	Klienter kan se og købe denne pakke.
modals.package.soldAsSubscriptionHint	Ellers bliver pakken kun under enkeltbesøg.
studios.title	STUDIER
studios.addStudio	Tilføj studie
studios.addHall	Tilføj {{spaceAcc}}
studios.editBranch	Rediger afdeling
studios.deleteBranch	Slet afdeling
studios.infoTab	Generelle oplysninger
studios.hallsTitle	Studiets {{spacePlural}}
studios.hallCount_one	{{spacePlural, capitalize}} · {{count}}
studios.hallCount_other	{{spacePlural, capitalize}} · {{count}}
studios.stats.halls	{{spacePlural, capitalize}}
studios.stats.totalSeats	Samlet antal pladser
studios.stats.fromPerHour	Fra / time
studios.hall.seats	pladser
studios.hall.schedule	Åbningstider
studios.hall.closed	Lukket
studios.hall.stats.seats	Pladser
studios.hall.stats.area	Areal
studios.hall.stats.perHour	Pr. time
studios.hall.equipment	Udstyr
studios.hall.actions	Handlinger
studios.hall.edit	Rediger {{spaceAcc}}
studios.hall.delete	Slet {{spaceAcc}}
studios.empty.title	Ingen studier
studios.empty.subtitle	Tilføj dit første studie
studios.toasts.created	Studie oprettet
studios.toasts.createError	Kunne ikke oprette studie
studios.toasts.deleted	Studie slettet
studios.toasts.hallDeleted	Slettet: {{space}}
studios.toasts.saved	Gemt
studios.toasts.edit	Rediger: {{name}}
studios.confirmDelete	Slet afdeling „{{name}}”? Dette kan ikke fortrydes.
studios.confirmDeleteTitle	Slet afdeling?
studios.confirmDeleteHall	Slet {{spaceAcc}} „{{name}}”?
studios.confirmDeleteHallTitle	Slet {{spaceAcc}}?
services.title	YDELSER
services.addService	Tilføj ydelse
services.types.group	Hold
services.types.individual	Indiv.
services.types.groupFull	 · Hold
services.types.individualFull	 · Individuel
services.stats.price	Pris
services.stats.duration	Varighed
services.stats.bookings	Bookinger
services.stats.revenue	Omsætning
services.details.description	Beskrivelse
services.details.details	Detaljer
services.details.minutes	minutter
services.details.upTo	Op til {{count}} pers.
services.details.personal	Personlig
services.details.bookingsPerMonth	bookinger på 30 dage
services.details.schedule	Holdplan
services.empty.title	Ingen ydelser
services.empty.subtitle	Tilføj din første ydelse
services.toasts.deleted	Ydelse slettet
services.toasts.deleteError	Kunne ikke slette ydelsen
services.toasts.saved	Gemt
services.toasts.saveError	Kunne ikke gemme ydelsen
services.toasts.edit	Rediger: {{name}}
services.confirmDelete	Slet ydelsen „{{name}}”?
services.confirmDeleteTitle	Slet ydelse?
services.categories.yoga	Yoga
services.categories.pilates	Pilates
services.categories.stretching	Stræk
services.categories.individual	Individuel
services.categories.other	Uden kategori
subscriptions.title	MEDLEMSKABER
subscriptions.addPackage	Tilføj pakke
subscriptions.card.classCount_one	{{count}} hold
subscriptions.card.classCount_other	{{count}} hold
subscriptions.card.duration	{{count}} dage
subscriptions.card.allServices	Alle hold
subscriptions.card.serviceCount_one	{{count}} ydelse
subscriptions.card.serviceCount_other	{{count}} ydelser
subscriptions.card.inactiveBadge	Taget af salg
subscriptions.settings.title	Programindstillinger
subscriptions.settings.allowFreeze	Frysning af medlemskab
subscriptions.settings.allowTransfer	Overførsel til en anden klient
subscriptions.settings.autoRenewal	Automatisk fornyelse fra klientens indskud
subscriptions.empty.title	Ingen pakker endnu
subscriptions.empty.cta	Opret pakke
subscriptions.toasts.created	Pakke oprettet
subscriptions.toasts.saved	Gemt
subscriptions.toasts.saveError	Kunne ikke gemme pakken
subscriptions.toasts.deactivated	Pakke taget af salg
subscriptions.toasts.restored	Pakke sat til salg igen
subscriptions.toasts.actionError	Kunne ikke gennemføre handlingen
subscriptions.deactivate	Tag af salg
subscriptions.restore	Sæt til salg igen
subscriptions.confirmDeactivateTitle	Tag denne pakke af salg?
subscriptions.confirmDeactivate	Allerede solgte medlemskaber vil fortsat fungere.
