== pl
tabs.accounts	Konta
goals.categoryPlaceholder	Wybierz kategorię
goals.editTitle	Edytuj cel
goals.nameLabel	Tytuł
goals.namePlaceholder	Tytuł celu
goals.amountLabel	Kwota, {{symbol}}
goals.achieved	Cel osiągnięty
goals.priority.high	Wysoki priorytet
goals.priority.medium	Średni priorytet
goals.priority.low	Niski priorytet
goals.autoCollect	Automatyczne śledzenie
goals.deadlinePrefix	Termin:
goals.noDeadline	Bez terminu
goals.fundPlaceholder	Kwota, {{symbol}}
goals.fund	Dodaj
goals.addFunds	Dodaj środki
goals.autoHint	Wartość aktualizuje się automatycznie na podstawie przychodu kategorii
goals.deleteConfirmTitle	Usunąć cel?
goals.deleteConfirmText	Postęp tego celu zostanie utracony. Tej operacji nie można cofnąć.
goals.toasts.loadFailed	Nie udało się załadować celów
goals.toasts.fillRequired	Uzupełnij tytuł i kwotę
goals.toasts.chooseCategory	Wybierz kategorię dla celu automatycznego
goals.toasts.created	Cel utworzony
goals.toasts.createFailed	Nie udało się utworzyć celu
goals.toasts.enterName	Wprowadź nazwę
goals.toasts.updated	Cel zaktualizowany
goals.toasts.updateFailed	Nie udało się zaktualizować celu
goals.toasts.deleted	Cel usunięty
goals.toasts.deleteFailed	Nie udało się usunąć celu
goals.toasts.funded	Środki dodane
goals.toasts.fundFailed	Nie udało się dodać środków
onlinePayments.description	Połącz Stripe, a Twoi klienci będą mogli płacić kartą przy kasie. Pieniądze trafiają bezpośrednio na konto Twojego studia — Velora nigdy ich nie przechowuje. Prowizja zależy od Twojego planu.
onlinePayments.gatewaysTitle	Dostawcy płatności
onlinePayments.gateways.stripe.name	Stripe
onlinePayments.gateways.states.none.label	Nie połączono
onlinePayments.gateways.states.none.hint	Przyjmuj płatności kartą na konto studia
onlinePayments.gateways.states.none.action	Połącz
onlinePayments.gateways.states.incomplete.label	Brak danych
onlinePayments.gateways.states.incomplete.hint	Stripe czeka na dane Twojego studia — płatności pozostają wyłączone do tego czasu
onlinePayments.gateways.states.incomplete.action	Kontynuuj
onlinePayments.gateways.states.action.label	Wymagane działanie
onlinePayments.gateways.states.action.hint	Stripe odrzucił część danych i oczekuje poprawek — nie rozwiąże się to samo
onlinePayments.gateways.states.action.action	Popraw dane
onlinePayments.gateways.states.review.label	W trakcie weryfikacji
onlinePayments.gateways.states.review.hint	Dane zostały przesłane, Stripe je weryfikuje. Zwykle trwa to do jednego dnia
onlinePayments.gateways.states.review.action	Otwórz Stripe
onlinePayments.gateways.states.active.label	Połączono
onlinePayments.gateways.states.active.hint	Płatności kartą trafiają na konto Stripe studia
onlinePayments.gateways.states.active.action	Ustawienia
onlinePayments.toasts.gatewayUpdated	Ustawienia dostawcy płatności zaktualizowane
onlinePayments.toasts.stripeReturned	Dane przesłano do Stripe
onlinePayments.toasts.stripeLinkExpired	Link Stripe wygasł — naciśnij Połącz ponownie
paymentMethods.totalTurnover	Obrót za okres
paymentMethods.periods.month	Miesiąc
paymentMethods.periods.quarter	Kwartał
paymentMethods.periods.year	Rok
paymentMethods.amount	Kwota
paymentMethods.share	Udział
paymentMethods.transactions	transakcje
paymentMethods.methods.cash.name	Gotówka
paymentMethods.methods.card.name	Karta bankowa
paymentMethods.methods.qr.name	SBP (QR)
paymentMethods.methods.transfer.name	Przelew
paymentMethods.methods.stripe.name	Stripe
paymentMethods.methods..name	Nie określono
reports.metrics.revenue	Przychody
reports.metrics.expenses	Wydatki
reports.metrics.profit	Zysk
reports.metrics.margin	Marża
reports.vsPreviousPeriod	względem poprzedniego okresu
reports.cashflowTitle	Przepływ środków
reports.cashflowSub	Analiza przychodów i wydatków
reports.period	Okres
reports.income	Przychód
reports.expense	Wydatek
reports.profit	Zysk
reports.periods.today	Dzisiaj
reports.periods.week	Tydzień
reports.periods.month	Miesiąc
reports.periods.year	Rok
reports.legendIncome	Przychody
reports.legendExpense	Wydatki
reports.exportCsv	Eksportuj CSV
reports.expenseStructure	Struktura wydatków
reports.incomeStructure	Struktura przychodów
reports.total	Łącznie
reports.otherCategory	Bez kategorii
reports.noData	Brak danych dla tego okresu
reports.insightsTitle	Podsumowanie i analizy finansowe
reports.insightsPlaceholder	Tutaj pojawi się podsumowanie finansowe oparte na AI: analiza trendów, struktura wydatków i rekomendacje
reports.toasts.exportFailed	Nie udało się wyeksportować operacji
confirmModal.cancel	Anuluj
confirmModal.confirm	Potwierdź
confirmModal.delete	Usuń
