== no
nav.sectionLabel	Systeminnstillinger
security.otp.sentHint	Vi har sendt en sekssifret kode til e-posten din. Skriv den inn nedenfor.
security.otp.resend	Send koden på nytt
security.otp.resendIn	Send på nytt om {{count}} sek.
security.otp.confirm	Bekreft
security.otp.cancel	Avbryt
security.otp.sendCode	Send kode
security.otp.continue	Fortsett
security.danger.title	Databehandling (faresone)
security.danger.export.title	Eksporter alle data
security.danger.export.sub	Last ned et arkiv med klientbasen og historikken
security.danger.export.prepare	Forbered arkiv
security.danger.export.hide	Skjul
security.danger.export.clients	Klientbase (CSV)
security.danger.export.finances	Finansielle transaksjoner
security.danger.export.schedule	Timer og timeplan
security.danger.export.start	Start eksport
security.danger.export.started	Arkivet forberedes, og en lenke sendes til e-posten din
security.danger.export.emptySelection	Velg minst én seksjon for eksport
security.danger.wipe.title	Tøm database
security.danger.wipe.sub	Sletter alle klienter og bestillinger. Innstillingene beholdes.
security.danger.wipe.action	Tøm data
security.danger.wipe.toast	Databasen er tømt
security.danger.wipe.consequence1	Slettes permanent: klienter, timer, bestillinger, transaksjoner, dokumenter, klientabonnementer, lojalitetshistorikk
security.danger.wipe.consequence2	Uendret: studio, avdelinger, {{spacePlural}}, tjenester, ansatte, abonnement og innstillinger
security.danger.wipe.consequence3	Denne handlingen kan ikke angres etter bekreftelse
security.danger.deleteAccount.title	Slett bedriftskonto
security.danger.deleteAccount.sub	Fullstendig og irreversibel sletting av virksomheten fra systemet
security.danger.deleteAccount.action	Slett for alltid
security.danger.deleteAccount.consequence1	Studioet og alle dataene blir slettet permanent, inkludert klienter, timer, økonomi og innstillinger
security.danger.deleteAccount.consequence2	Den personlige kontoen din beholdes — bare dette studioet slettes
security.danger.deleteAccount.consequence3	Sletting er ikke tilgjengelig med et aktivt abonnement eller hvis studioet har andre eiere
integrations.title	Integrasjoner
integrations.subtitle	Koble til eksterne kanaler og økosystemer med ett klikk
integrations.loadError	Kunne ikke laste inn integrasjonsstatus
integrations.items.telegram.name	Telegram-bot
integrations.items.telegram.sub	Klientvarsler og bestilling via bot
integrations.items.whatsapp.name	WhatsApp Business
integrations.items.whatsapp.sub	Masseutsendelser og automatiske klientvarsler
integrations.items.instagram.name	Instagram Direct
integrations.items.instagram.sub	AI-agent for automatiske svar og nettbestilling
integrations.items.google_calendar.name	Google Calendar
integrations.items.google_calendar.sub	Synkronisering av studioets timeplan
integrations.status.connected	Tilkoblet
integrations.status.notActive	Ikke tilkoblet
integrations.actions.configure	Konfigurer
integrations.actions.connect	Koble til
integrations.actions.disconnect	Koble fra
integrations.fields.keyLabel	Nøkkel
integrations.fields.connectedAtLabel	Tilkoblet
integrations.fields.telegramToken	Bot-API-token (fra @BotFather)
integrations.fields.telegramTokenPh	123456789:ABCDefGhIJKlmNoPQRsTUVwxyZ
integrations.fields.whatsappToken	Tilgangstoken
integrations.fields.whatsappTokenPh	EAAxxxxxxxxxxxxx
integrations.fields.whatsappPhoneId	Telefonnummer-ID
integrations.fields.whatsappPhoneIdPh	1029384756
integrations.fields.whatsappWabaId	WABA-ID (valgfritt)
integrations.fields.whatsappWabaIdPh	1029384756
integrations.fields.instagramToken	Tilgangstoken
integrations.fields.instagramTokenPh	IGQWR...
integrations.fields.instagramUserId	Instagram-ID for bedriftskonto
integrations.fields.instagramUserIdPh	17841400000000000
integrations.guide.howToTitle	Slik kobler du til
integrations.guide.telegram.steps.0	Åpne @BotFather i Telegram og send /newbot
integrations.guide.telegram.steps.1	Velg navn og brukernavn for boten — BotFather sender deg en API-token
integrations.guide.telegram.steps.2	Lim inn tokenet nedenfor og klikk på Koble til
integrations.guide.whatsapp.steps.0	Opprett en app i Meta for Developers og legg til WhatsApp-produktet
integrations.guide.whatsapp.steps.1	Kopier det midlertidige eller permanente tilgangstokenet i API Setup
integrations.guide.whatsapp.steps.2	Kopier også telefonnummer-ID-en til test- eller det bekreftede nummeret
integrations.guide.whatsapp.steps.3	Lim inn begge verdiene nedenfor og klikk på Koble til
integrations.guide.instagram.steps.0	Koble studioets Instagram-konto til en Facebook-side — det kreves for Direct API
integrations.guide.instagram.steps.1	Opprett en app i Meta for Developers med produktet Instagram Graph API
integrations.guide.instagram.steps.2	Opprett et tilgangstoken med tillatelsene instagram_basic og instagram_manage_messages
integrations.guide.instagram.steps.3	Kopier Instagram-ID for bedriftskonto og tokenet, og lim dem inn nedenfor
integrations.guide.instagram.steps.4	Uten Metas godkjenning virker tilkoblingen bare for appens testkontoer
integrations.guide.google_calendar.steps.0	Klikk på Koble til — et Google-innloggingsvindu åpnes
integrations.guide.google_calendar.steps.1	Velg kontoen studioets kalender er koblet til
integrations.guide.google_calendar.steps.2	Gi kalenderadgang — timene vil begynne å vises der automatisk
integrations.capabilities.notify	klientvarsler på denne kanalen
integrations.capabilities.booking	nettbestilling gjennom denne kanalen
integrations.capabilities.dm_agent	AI-agent for automatiske svar i Direct
integrations.capabilities.schedule_sync	synkronisering av timeplan med Google Calendar
integrations.disconnect.title	Koble fra {{name}}?
integrations.disconnect.willStop	Dette vil slutte å fungere:
integrations.disconnect.checkbox	Jeg forstår konsekvensene
integrations.disconnect.cancel	Avbryt
integrations.disconnect.confirm	Koble fra
integrations.google.connected	Google Calendar er tilkoblet
integrations.google.denied	Tilgang til Google Calendar ble ikke gitt
integrations.google.error	Kunne ikke koble til Google Calendar
integrations.google.primary	primær
integrations.google.calendar	Kalender
integrations.google.selectCalendar	Velg en kalender
integrations.google.loadingCalendars	Laster inn kalendere…
integrations.google.syncMode	Synkroniseringsmodus
integrations.google.syncModeOptions.push	Bare fra CRM til Google
integrations.google.syncModeOptions.two_way	Toveis
integrations.google.syncNow	Synkroniser nå
integrations.google.lastSync	Sist synkronisert: {{date}}
integrations.google.neverSynced	Ikke synkronisert ennå
integrations.google.timezoneWarning	Studioets tidssone er ikke angitt — hendelser sendes i UTC og kan avvike fra faktiske timetider. Angi tidssonen under Generelt.
integrations.google.syncResult	Synkronisert: {{pushed}} sendt, {{pulled}} hentet
integrations.google.settingsSaved	Innstillinger for Google Calendar er lagret
integrations.toast.connected	Integrasjon tilkoblet
integrations.toast.disconnected	Integrasjon frakoblet
data.export.title	Eksporter rapporter og lister
data.export.subtitle	Last ned filer i tabellformater for regnskap og analyse
data.export.clearFilter	Fjern periode
data.export.items.clients.name	Klientliste
data.export.items.schedule.name	Journal- og bestillingshistorikk
data.export.items.finances.name	Finansiell rapport
data.export.items.subscriptions.name	Klientabonnementer
data.export.rows_one	{{count}} post
data.export.rows_other	{{count}} poster
data.export.loading	Laster inn...
data.export.empty	ingen data for denne perioden
