== sq
loading	Po ngarkohet…
wa.verify.lead	Numri funksionon, por me kufi të reduktuar prej 250 marrësish unikë në ditë. Verifikimi e heq kufirin dhe mundëson nisje të plotë. Studioja duhet ta bëjë vetë — llogaria WhatsApp ju përket juve dhe Velora nuk mund ta kalojë në emrin tuaj.
wa.verify.stepsTitle	Si ta verifikoni biznesin:
wa.verify.step1a	Hapni
wa.verify.link	Qendrën e Sigurisë së Biznesit Meta
wa.verify.step1b	dhe klikoni “Nis verifikimin”. Ju duhen të drejta administratori në llogarinë e biznesit.
wa.verify.step2	Plotësoni të dhënat ligjore: emrin saktësisht si në dokumente, adresën, telefonin dhe sajtin. Sajti duhet të jetë aktiv dhe të përdorë HTTPS.
wa.verify.step3	Ngarkoni dokumentin e regjistrimit të biznesit dhe prisni që Meta ta shqyrtojë.
wa.verify.step4	Konfirmoni se jeni të lidhur me biznesin: email në domenin e sajtit, telefonatë ose SMS në numrin e listuar, ose verifikim domeni.
wa.verify.step5	Prisni vendimin — zakonisht 1–5 ditë pune. Statusi është në të njëjtën Qendër Sigurie; nëse refuzohet, Meta jep arsyen dhe lejon riaplikim.
wa.verify.docsTitle	Cilat dokumente pranohen (një nga secili grup):
wa.verify.doc1	Regjistrimi: certifikata e themelimit, ekstrakti i regjistrit, licenca e biznesit ose dokument tatimor.
wa.verify.doc2	Dëshmi e pranisë: sajt funksional, faqe zyrtare në rrjet social ose listim në direktori biznesi.
wa.verify.pitfallTitle	Arsyeja më e zakonshme e refuzimit
wa.verify.pitfall	Emri i biznesit te Meta dhe në dokument duhet të përputhet karakter për karakter, përfshirë formën ligjore dhe pikësimin. “Romashka LLC” dhe “Romashka, LLC” llogariten si emra të ndryshëm.
wa.templatesTitle	Shabllonet e mesazheve
wa.templates	Meta nuk ju lejon t'i shkruani i pari klientit pa shabllon të miratuar paraprakisht. Krijoni shabllone për çdo ngjarje — do të kalojnë shqyrtimin dhe nisin të funksionojnë sapo të miratohen.
wa.templatesAction	Përgatit shabllonet
wa.templatesPending	Po krijohen shabllonet…
wa.templatesDone_one	Shabllonet gati: {{count}}. Në pritje të shqyrtimit nga Meta
wa.templatesDone_other	Shabllonet gati: {{count}}. Në pritje të shqyrtimit nga Meta
wa.templatesPartial	Meta refuzoi disa shabllone: {{failed}}. Shihni regjistrat për hollësi
wa.templatesRejectedTitle_one	Meta refuzoi {{count}} shabllon
wa.templatesRejectedTitle_other	Meta refuzoi {{count}} shabllone
wa.templatesRejected	— këto njoftime nuk po dërgohen. Kontrolloni formulimin në llogarinë Meta dhe krijojini përsëri shabllonet.
wa.templatesPendingTitle_one	{{count}} shabllon në shqyrtim
wa.templatesPendingTitle_other	{{count}} shabllone në shqyrtim
wa.templatesPendingHint	— Meta mund të zgjasë deri në një ditë. {{approved}} janë miratuar tashmë dhe po dërgohen.
wa.templatesOkTitle	Shabllonet u miratuan
wa.templatesOk_one	{{count}} kaloi shqyrtimin e Meta — njoftimet po dërgohen.
wa.templatesOk_other	Të {{count}} kaluan shqyrtimin e Meta — njoftimet po dërgohen.
wa.paidWarning	Mesazhet WhatsApp janë me pagesë
wa.approxPrice	rreth.
wa.pricingLoading	Po ngarkohet çmimi aktual…
wa.perMessage	për mesazh
wa.viaMeta	të faturuara drejtpërdrejt nga Meta
wa.windowNotice	Dërgimi garantohet vetëm brenda dritares 24-orëshe të bisedës.
wa.connect	Lidhu me WhatsApp
wa.disconnect	Shkëput
wa.disconnectTitle	Të shkëputet WhatsApp?
wa.disconnectMessage	Klientët dhe stafi nuk do të marrin më njoftime përmes këtij kanali.
wa.close	Mbyll
wa.cancel	Anulo
tabs.matrix	Cilësimet
tabs.log	Regjistri i dërgimeve
log.title	Regjistri i dërgimeve
log.subtitle	Çfarë u dërgua, kujt dhe kur, si dhe si përfundoi çdo dërgim.
log.status.sent	Dërguar
log.status.rejected	Refuzuar
log.status.error	Dështim lidhjeje
log.status.pending	Në proces
log.searchPlaceholder	Telefon, email ose kod ngjarjeje
log.allChannels	Të gjitha kanalet
log.reset	Rivendos
log.refreshing	Po rifreskohet…
log.otherEvent	Dërgim jashtë katalogut
log.empty	Ende nuk është dërguar asgjë
log.emptyHint	Çdo njoftim që studioja u dërgon klientëve dhe stafit shfaqet këtu.
log.emptyFiltered	Nuk u gjet asgjë
log.emptyFilteredHint	Provoni të ndryshoni filtrat ose kërkoni një numër tjetër.
log.loadError	Nuk mundëm të ngarkonim regjistrin
log.loadErrorHint	Rifreskoni faqen — nëse nuk ndihmon, kontaktoni mbështetjen.
log.range	{{from}}–{{to}} nga {{total}}
log.prev	Mbrapa
log.next	Tjetra
