== sr
legal.terms	Услови коришћења
offlineFee.accruing	Акумулирано од готовине и депозита по стопи {{rate}}%. Фактурише се месечно; имате {{days}} дана за уплату.
offlineFee.due	Фактура је издата. Преостало дана за плаћање: {{days}}.
offlineFee.suspended	Плаћање је доспело — приступ CRM-у и мини-апликацији је обустављен.
offlineFee.pay	Плати
offlineFee.suspendedMin	Минимална месечна накнада је доспела — приступ CRM-у и мини-апликацији је обустављен.
offlineFee.alsoAccruing	Додатно се овог месеца акумулира: {{amount}} — биће на следећој фактури.
offlineFee.minimum	Минимална месечна накнада је {{amount}}. Ако током месеца зарадите мање, плаћате разлику; ако више, нема фактуре.
offlineFee.pendingBill	Акумулирано по претходном моделу, чека се фактура.
offlineFee.notBilledYet	Фактура још није издата: акумулирани износ је испод минималног износа фактуре или се фактура још припрема. Ништа се не губи — биће на следећој фактури.
trial.title	Понуда за нове студије
trial.subtitle	Ваш студио је управо креиран
trial.headline	{{days}} дана бесплатно
trial.noCard	Картица није потребна — сада немате шта да платите
trial.perks.allModules	Пун приступ сваком модулу: распореду, клијентима, финансијама, обавештењима и Velora AI
trial.perks.noCommitment	Без обавезе: ако вам не одговара, једноставно не обнављајте
trial.perks.keepData	Све што унесете током пробног периода остаје ваше
trial.activate	Активирај
trial.decline	Одбиј
trial.cardHint	Још нисте активирали бесплатни период за овај студио. Остаје доступан док не купите план.
profile.title	Подаци за наплату
profile.editTitle	Измените податке за наплату
profile.subtitle	Ваша адреса се наводи на фактури и одређује пореску стопу. Сачувана је на налогу — нећемо је тражити поново у другом студију.
profile.subtitlePay	Попуните једном и следећи пут плаћање иде директно. Ваша адреса се наводи на фактури и одређује пореску стопу.
profile.cardTitle	Подаци за наплату
profile.cardSubtitle	Сачувани су на вашем налогу и користе се у свим студијима. Овако се приказују на фактури.
profile.cardEmpty	Још нису попуњени — тражићемо их пре првог плаћања. Можете их додати сада.
profile.add	Додај податке за наплату
profile.edit	Измени
profile.save	Сачувај
profile.saveAndPay	Сачувај и настави на плаћање
profile.cancel	Откажи
profile.saved	Подаци за наплату су сачувани
profile.vatNone	Није наведено
profile.fields.country	Земља или регион
profile.fields.countryPlaceholder	Изаберите земљу
profile.fields.address	Адреса
profile.fields.line1	Адресни ред 1
profile.fields.line1Placeholder	Улица и број
profile.fields.line2	Адресни ред 2 — опционо
profile.fields.line2Placeholder	Стан, апартман, број јединице итд.
profile.fields.postalCode	Поштански број
profile.fields.postalCodePlaceholder	110 00
profile.fields.city	Град
profile.fields.cityPlaceholder	Праг
profile.fields.vat	ПДВ број — опционо
profile.fields.vatPlaceholder	{{prefix}}12345678
profile.fields.vatHint	Само за предузећа. Број се проверава у ЕУ регистру (VIES) при чувању — непроверене бројеве не прихватамо. Са важећим бројем, фирма у другој земљи ЕУ фактурише се без пореза (обрнути терет). Физичка лица га немају — оставите празно.
profile.fields.countrySearch	Почните да куцате назив
profile.fields.countryNotFound	Земља није пронађена
profile.fields.vatOutsideEu	Не тражимо ПДВ број: ван ЕУ порез одређује земља платиоца, а не број, па не утиче на фактуру.
profile.fields.vatPending	Ваш број је сачуван, али ЕУ регистар тада није био доступан, па још није потврђен и следећа фактура ће садржати пун ПДВ. Не морате га поново уносити: наставићемо да га проверавамо и чим регистар одговори, порез се више неће наплаћивати. За већ плаћену фактуру подршка ће вратити порез.
profile.errors.required	Ово поље је обавезно
profile.preview.invoice	Фактура
profile.preview.billTo	Фактурише се за
profile.preview.note	Овако ће се ваши подаци приказивати на свакој фактури. Можете их променити у било ком тренутку у План и наплата → Начин плаћања.
